kappa,folder,gaze_duration_mean,gaze_duration_std,gaze_duration_sem,gaze_duration_min,gaze_duration_max,n_valid_episodes,n_total_episodes,n_missing_gaze_duration
1.0,kappa_1p0,293.14529250801525,202.7484059993946,2.027484059993946,3.255413337548609,1453.516206555443,10000,10000,0
1.2,kappa_1p2,295.94254678984726,206.67253498493312,2.066725349849331,0.6500003919013693,1902.5408235916557,10000,10000,0
1.4,kappa_1p4,292.78660957822825,203.905208949715,2.03905208949715,2.683282241987104,1586.0869770067661,10000,10000,0
1.6,kappa_1p6,295.61580836163375,203.33394148902264,2.0333394148902264,1.025747914366568,1696.8135382483533,10000,10000,0
1.8,kappa_1p8,293.02959500944917,204.82055175185377,2.0482055175185376,0.9753410830074322,1787.6643893631522,10000,10000,0
2.0,kappa_2p0,291.56537156621664,202.13017817350416,2.021301781735042,1.104521302290114,1648.9861316280997,10000,10000,0
2.1,kappa_2p1,296.1961910796415,206.39825326093296,2.0639825326093297,2.770258795203145,1519.458090018536,10000,10000,0
2.2,kappa_2p2,294.415163300463,205.2291114312367,2.052291114312367,0.860451431605795,1793.3131718257741,10000,10000,0
2.3,kappa_2p3,298.52179246973617,205.38596845146702,2.0538596845146704,3.1375644836734784,1717.022255285409,10000,10000,0
2.4,kappa_2p4,294.05688045939763,203.77562952562747,2.0377562952562744,1.9775514813909385,1515.809515072384,10000,10000,0
2.4000000000000004,kappa_2p4000000000000004,294.3026281160671,204.63598295760144,2.0463598295760144,1.0301696209873643,1521.6944593198405,10000,10000,0
2.5,kappa_2p5,295.69628934435474,206.3106621221474,2.0631066212214737,3.4233501040268703,1854.5040381825806,10000,10000,0
2.6,kappa_2p6,295.4032641519728,205.08955227669787,2.0508955227669787,1.4844347389544132,1515.4572687391662,10000,10000,0
2.7,kappa_2p7,297.93849045649847,206.3251285736879,2.0632512857368788,3.389821876126147,1487.293924113887,10000,10000,0
2.8,kappa_2p8,297.4794240783504,205.69650753772137,2.0569650753772137,0.7019323547079955,1789.351774178768,10000,10000,0
2.9,kappa_2p9,296.3344563169667,204.77318554792174,2.0477318554792174,1.7666023836020845,1657.489462065086,10000,10000,0
3.0,kappa_3p0,293.9463467222651,206.71815838124485,2.0671815838124483,2.404250410942892,1722.5463630213126,10000,10000,0
3.1,kappa_3p1,293.33520446644565,201.69250301647077,2.0169250301647077,1.646686446525605,1510.1161303838944,10000,10000,0
3.2,kappa_3p2,297.66733902187923,203.69508585117978,2.0369508585117977,1.6479816996994379,1528.4852130816662,10000,10000,0
3.3,kappa_3p3,297.0668778379439,204.51765183705083,2.0451765183705084,1.1898641187498775,1585.875009223797,10000,10000,0
3.4000000000000004,kappa_3p4000000000000004,298.3154886750999,205.56841971563503,2.05568419715635,1.1785836658480497,1637.7220459048863,10000,10000,0
3.5,kappa_3p5,298.0103479200974,204.606216700672,2.04606216700672,2.3861675355999425,1829.4935981899011,10000,10000,0
3.6,kappa_3p6,299.9820114236855,205.68282064342756,2.0568282064342758,2.107699577221071,1514.9406978946188,10000,10000,0
3.7,kappa_3p7,294.4816098861037,201.24711223018346,2.0124711223018346,1.5765484815982895,1651.6275985825575,10000,10000,0
3.8,kappa_3p8,295.13382915940986,201.77412982967292,2.017741298296729,1.1623861670436204,1475.3545343068963,10000,10000,0
3.8000000000000003,kappa_3p8000000000000003,296.6413386081132,207.72837207607654,2.0772837207607653,1.3299736570697311,1879.4345149555513,10000,10000,0
3.9000000000000004,kappa_3p9000000000000004,297.4126279286045,206.2565152018835,2.062565152018835,2.8746495778086714,1380.8251650581687,10000,10000,0
4.0,kappa_4p0,301.2808098282583,209.88530620770013,2.0988530620770014,1.9605330968894,1493.6568906193856,10000,10000,0
4.2,kappa_4p2,296.777792117105,205.8742100578111,2.058742100578111,2.1087658109282494,1614.55877978861,10000,10000,0
4.4,kappa_4p4,296.72593956936817,204.32644041432494,2.0432644041432493,0.44595480707587615,1426.0154729213318,10000,10000,0
4.6,kappa_4p6,297.8103439665667,204.61600259518596,2.0461600259518598,2.2160441689116115,1550.0279018159158,10000,10000,0
4.800000000000001,kappa_4p800000000000001,299.2048862290882,204.40040409541913,2.0440040409541913,2.2610471360620767,1397.279574662058,10000,10000,0
5.0,kappa_5p0,303.48467044100454,206.196110783861,2.06196110783861,1.8414320276292397,1652.1102226249782,10000,10000,0
