word_length,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
1,203.72857984960174,140.600079753288,7165,1.6610299744263826,200.47296109972604,206.98419859947745
2,204.27957418279644,142.67884555192916,6976,1.7082693576830836,200.9313662417376,207.62778212385527
3,206.45591653278362,146.59218846942542,7019,1.7497387393873325,203.02642860358443,209.8854044619828
4,200.29194971060076,139.93072177436386,7127,1.6575235015868326,197.04320364749057,203.54069577371095
5,204.7931491403916,144.54461097361542,7174,1.7065586499256806,201.44829418653725,208.13800409424593
6,206.9127665954512,150.16575141861298,7068,1.786169310655246,203.4118747465669,210.41365844433548
7,206.87220266839455,147.93417010758733,7189,1.7447542220128556,203.45248439324936,210.29192094353974
8,205.3380680428688,144.59611365390353,7244,1.6988983699522362,202.0082272377624,208.66790884797518
9,204.65171638366294,147.76208618330207,7133,1.7495521893344723,201.2225940925674,208.0808386747585
10,317.9270247430249,205.03713755609525,7299,2.399942564995186,313.22313731563435,322.63091217041546
11,331.45704197866564,208.5476255150257,7093,2.4762259439911998,326.60363912844286,336.3104448288884
12,340.7011219032228,208.18435164835822,7202,2.453135423528737,335.8929764731065,345.50926733333915
13,353.5371901906514,210.09198011654058,7146,2.485295127520524,348.6660117407112,358.4083686405916
14,360.8192858408071,210.46570022325358,7165,2.486412790610713,355.9459167712101,365.6926549104041
