class,logit_predictability,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,-1.950175071786894,261.7882234994377,186.72491223202172,2366,3.8387947645475826,254.26418576092445,269.31226123795096
class 2,-1.218405656453984,267.5625526161609,192.78950988563057,3504,3.2568769498259442,261.179073794502,273.9460314378197
class 3,-0.721398767680897,262.12810662456343,185.3174200555617,7625,2.122248920863161,257.96849873967165,266.2877145094552
class 4,-0.2409662018338049,237.0428253898505,170.00004129841037,11457,1.5882306407334386,233.92989333401295,240.15575744568804
class 5,0.6884459136673259,209.60946912948833,151.3400188213449,25218,0.9530122069049458,207.74156520395465,211.477373055022
