class,log_frequency,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,0.3213045307148822,277.17748227041733,194.15644792418715,44854,0.9167506544293335,275.38065098773586,278.9743135530988
class 2,1.3228556845047486,277.15139366321574,195.48432137534428,4508,2.9115213377803433,271.44481184116626,282.85797548526523
class 3,2.3033007041022877,270.7048870950576,182.2708396454539,421,8.883337171324017,253.29354623926253,288.11622795085265
class 4,3.3675864260141566,238.47697906790054,183.23181332010785,44,27.623235201783746,184.3354380724044,292.61852006339666
class 5,4.197616377780283,216.3930901782749,36.25519441563515,3,20.931946255389175,175.3664755177121,257.4197048388377
