word_length,letter_number,proportion_of_fixation
8,0,0.16944444444444445
8,1,0.15
8,2,0.18055555555555555
8,5,0.5
9,0,0.09090909090909091
9,1,0.09090909090909091
9,2,0.06993006993006994
9,3,0.24825174825174826
9,5,0.2517482517482518
9,6,0.08216783216783216
9,7,0.08391608391608392
9,8,0.08216783216783216
10,0,0.11673151750972763
10,1,0.11867704280155641
10,2,0.11673151750972763
10,4,0.13618677042801555
10,5,0.16439688715953307
10,6,0.19941634241245138
10,7,0.053501945525291826
10,8,0.048638132295719845
10,9,0.04571984435797665
11,0,0.09472880061115355
11,1,0.07639419404125286
11,2,0.07563025210084033
11,4,0.1520244461420932
11,5,0.17647058823529413
11,6,0.1711229946524064
11,8,0.09167303284950344
11,9,0.08403361344537816
11,10,0.07792207792207792
12,0,0.1084070796460177
12,1,0.12094395280235988
12,2,0.11135693215339233
12,5,0.16445427728613568
12,6,0.16519174041297935
12,7,0.16740412979351033
12,9,0.0612094395280236
12,10,0.05014749262536873
12,11,0.05088495575221239
13,0,0.10118632240055828
13,1,0.10956036287508723
13,2,0.0928122819260293
13,5,0.1674808094905792
13,6,0.1479413817166783
13,7,0.15561758548499652
13,10,0.07885554780181438
13,11,0.07745987438939288
13,12,0.06908583391486392
14,0,0.14277746793084217
14,1,0.13943112102621305
14,2,0.1377579475738985
14,6,0.14612381483547127
14,7,0.1388733965421082
14,8,0.13496932515337423
14,11,0.05577244841048522
14,12,0.05800334634690463
14,13,0.046291132180702736
