bin,ambiguity_zscore,ambiguity,ambiguity_norm,avg_regression_probability,avg_skip_probability,n_sentences
0,-1.7105522361487044,4.029135625862305,0.2349754942131239,0.11513514013675326,0.39909613753834905,29
1,-1.0816755643583935,4.412158393140778,0.3433233755188181,0.12752108310275015,0.399920763031006,29
2,-0.676782439378046,4.658762047145791,0.41308158760509783,0.1237876362215735,0.4081426011900612,28
3,-0.35357291468148394,4.855615599063383,0.46876669851722513,0.13895091136099746,0.3954277856155882,29
4,-0.11517575060565709,5.00081345039362,0.5098396605073215,0.13469009634907267,0.4005380885364224,28
5,0.12955394994088015,5.149868187742538,0.552003642312065,0.13082550927444989,0.40124954023544906,29
6,0.403565440508263,5.3167572521507225,0.5992125240978571,0.14346572630660442,0.3668086986936529,28
7,0.652010778798747,5.468075030751974,0.6420166655639695,0.13481563904366875,0.38639491189980824,29
8,0.97145662627186,5.662636282557425,0.6970533401906193,0.14297671841893628,0.3750149705784133,28
9,1.8012777605765398,6.168046009877568,0.8400215337930985,0.14752991045872796,0.41887242940662284,29
