word,original_word,length,frequency,log_frequency,predictability,skip_probability,total_occurrences
with,with,4,5048.330000000001,3.7031477361914535,0.0005019381359867941,1.0,11
1924,1924),4,1.0,0.0,0.00010000000000000003,1.0,12
in,in,2,9773.410000000002,3.990046118048168,0.034702568953201,1.0,12
his,his,3,2124.7799999999997,3.3273139698064673,0.008807248140715063,1.0,10
a,a,1,20415.269999999997,4.309955128012859,0.09876214262302711,1.0,12
a,a,1,20415.269999999997,4.309955128012859,0.0,1.0,11
by,by,2,1340.4699999999998,3.1272570988259853,0.1380250708667445,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
to,to,2,22677.84,4.3556016868719265,0.028607595826901516,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.30603812055412755,0.9166666666666666,12
on,on,2,6955.729999999997,3.8423427156846253,0.006051214611200264,0.9166666666666666,12
11,"11,",2,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0008111476725582658,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.2831235679597805,0.9166666666666666,12
it,it,2,18896.31,4.2763770050675465,0.2252972728150563,0.9166666666666666,12
h,H.,1,1.0,0.0,0.00738376554912873,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.15340024768902766,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.5755475074034597,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.03300438986533942,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.00010000000000000003,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.639257029153444,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.03890033027598232,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.2936557934862077,0.9166666666666666,12
and,and,3,13387.839999999998,4.126710513400981,0.0024037921251442683,0.9166666666666666,12
upon,upon,4,62.73000000000001,1.7974752875373345,0.00010000000000000003,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0025513356703752905,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.9741420037255325,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.015498190613260252,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.00010000000000000003,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.10119253990077114,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0011373481279561954,0.9166666666666666,12
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.30063787017948224,0.9166666666666666,12
and,and,3,13387.839999999998,4.126710513400981,0.48211169073817756,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.06976738806350102,0.9166666666666666,12
,-,0,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
at,at,2,3217.099999999999,3.507464560676048,0.004247367059586526,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.054159763750541316,0.9166666666666666,12
his,his,3,2124.7799999999997,3.3273139698064678,0.015445508061453535,0.9166666666666666,12
9,"9,",1,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.06900255393008288,0.9166666666666666,12
he,he,2,7637.199999999998,3.8829341638851793,0.0019818187670420317,0.9166666666666666,12
,-,0,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.010700587580880036,0.9166666666666666,12
it,it,2,18896.31,4.2763770050675465,0.005802547665650319,0.9166666666666666,12
as,as,2,2217.02,3.345769610954118,0.03759043890780606,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.310076196721873,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0008788599170570598,0.9166666666666666,12
he,he,2,7637.199999999998,3.8829341638851793,0.0019818187670420317,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.11357730069800372,0.9166666666666666,12
and,and,3,13387.839999999998,4.126710513400981,0.0020505616685902416,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.0011925399007711162,0.9166666666666666,12
3,"3,",1,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
18,"18,",2,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.09644164309644825,0.9166666666666666,12
and,and,3,13387.839999999998,4.126710513400981,0.0011363255923663826,0.9166666666666666,12
f,F.,1,1.0,0.0,0.0023158898882865743,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.004556911942235447,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.06095403192061689,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.15504724698050348,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.10137761694340088,0.9166666666666666,12
with,with,4,5048.330000000001,3.7031477361914535,0.0006274226699834927,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.050470445661431364,0.9166666666666666,12
an,an,2,1864.1399999999996,3.2704785254773365,0.033214490870384084,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.07121443815605286,0.9166666666666666,12
john,John,4,193.67000000000004,2.287062352554394,0.00010000000000000003,0.9166666666666666,12
was,was,3,5654.729999999999,3.752411873220891,0.005773024273831257,0.9166666666666666,12
five,five,4,285.44999999999993,2.4555300473427017,0.023520045971125367,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.015498190613260252,0.9166666666666666,12
23,"23,",2,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.1227123938976132,0.9166666666666666,12
at,at,2,3217.099999999999,3.507464560676048,0.004327162565849876,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.03890033027598232,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0010357991879601063,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.005777440336940747,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.0837936840221103,0.9166666666666666,12
man,man,3,1845.75,3.2661728770945024,0.005715509850884038,0.9166666666666666,12
8,"8,",1,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
25,"25,",2,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
4,"4,",1,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.055092253050514135,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.6810817559242203,0.9166666666666666,12
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9166666666666666,12
15,"15,",2,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.005292513691102966,0.9166666666666666,12
war,War,3,174.75,2.2424171844177185,0.9880746191115897,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.5297934097839557,0.9166666666666666,12
was,was,3,5654.729999999999,3.752411873220891,0.005773024273831257,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.07743514393530834,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.6417742867482069,0.9166666666666666,12
by,by,2,1340.4699999999998,3.1272570988259853,0.005182157193634269,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.005403516639623012,0.9166666666666666,12
at,at,2,3217.099999999999,3.507464560676048,0.00010000000000000003,0.9166666666666666,12
as,as,2,2217.02,3.345769610954118,0.005520123967132155,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.49529607194464026,0.9166666666666666,12
his,his,3,2124.7799999999997,3.3273139698064678,0.00020464638721768823,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.07667863020704932,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.045630790842249976,0.9166666666666666,12
his,his,3,2124.7799999999997,3.3273139698064678,0.016013033702930633,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.05534844735633782,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.0380499285612984,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.017856124796384074,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.6939249263874246,0.9166666666666666,12
by,by,2,1340.4699999999998,3.1272570988259853,0.23575814913760992,0.9166666666666666,12
,-,0,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
the,the,3,29449.179999999997,4.4690732065447465,0.35434720639779904,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.0018580185421672413,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.07211999224548539,0.9166666666666666,12
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.0015498190613260252,0.9166666666666666,12
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.053997285446547576,0.9166666666666666,12
,-,0,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0011600950905153189,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.0010357991879601063,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.5297934097839557,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.9741420037255325,0.9166666666666666,12
a,a,1,20415.269999999997,4.309955128012859,0.2788461388679804,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.31240748766280774,0.9166666666666666,12
aunt,aunt,4,55.20000000000001,1.7419390777291992,0.00010000000000000003,0.9166666666666666,12
rico,Rico),4,1.0,0.0,0.00010000000000000003,0.9166666666666666,12
an,an,2,1864.1399999999996,3.2704785254773365,0.007526950186531643,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.016040165444472076,0.9166666666666666,12
than,than,4,738.8000000000001,2.8685268867682043,0.09056174596919685,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.2206187971111624,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.8642499802477209,0.9166666666666666,12
an,an,2,1864.1399999999996,3.2704785254773365,0.007526950186531643,0.9166666666666666,12
in,in,2,9773.410000000002,3.990046118048168,0.1379036418803057,0.9166666666666666,12
and,and,3,13387.839999999998,4.126710513400981,0.02050561668590242,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.6417742867482069,0.9166666666666666,12
s,S.,1,1.0,0.0,0.027950974666962742,0.9166666666666666,12
as,as,2,2217.02,3.345769610954118,0.3997671973092823,0.9166666666666666,12
to,to,2,22677.84,4.3556016868719265,0.01025553803773886,0.9166666666666666,12
on,on,2,6955.729999999997,3.8423427156846253,0.003395312800252279,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.07256918978788562,0.9166666666666666,12
he,he,2,7637.199999999998,3.8829341638851793,0.0055914827674734295,0.9166666666666666,12
as,as,2,2217.02,3.345769610954118,0.005520123967132155,0.9166666666666666,12
of,of,2,11577.240000000003,4.063605036452091,0.0019322770169881388,0.9090909090909091,11
he,he,2,7637.199999999998,3.882934163885179,0.0,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.12143458626267786,0.9090909090909091,11
on,on,2,6955.729999999997,3.8423427156846257,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
,-,0,1.0,0.0,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.002753721932388979,0.9090909090909091,11
at,at,2,3217.099999999999,3.507464560676048,0.0005120081663808126,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.009704474496153614,0.9090909090909091,11
,-,0,1.0,0.0,0.00010000000000000003,0.9090909090909091,11
,...,0,1.0,0.0,0.00010000000000000003,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.0,0.9090909090909091,11
from,from,4,2039.06,3.309430005221756,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0832271082375691,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.0,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
best,best,4,404.36999999999995,2.606778928032351,0.0008558509863921363,0.9090909090909091,11
he,he,2,7637.199999999998,3.882934163885179,0.0,0.9090909090909091,11
wife,wife,4,348.92,2.5427258638037915,0.003293089236485751,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.0,0.9090909090909091,11
was,was,3,5654.729999999999,3.7524118732208906,0.00010000000000000003,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.0020505616685902416,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
or,or,2,1705.2900000000006,3.2317982453168246,0.0004892471387778937,0.9090909090909091,11
his,his,3,2124.7799999999997,3.3273139698064678,0.0,0.9090909090909091,11
own,own,3,459.1999999999999,2.6620018793899165,0.0,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9090909090909091,11
an,an,2,1864.1399999999996,3.2704785254773365,0.0,0.9090909090909091,11
called,called,6,340.02,2.5315044630251395,0.0,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.01060915016504034,0.9090909090909091,11
as,as,2,2217.02,3.3457696109541177,0.015973736533058672,0.9090909090909091,11
for,for,3,6895.1,3.838540569153386,0.035080641595698354,0.9090909090909091,11
w,W.,1,1.0,0.0,0.0,0.9090909090909091,11
work,work,4,798.0200000000001,2.9020137757878146,0.0,0.9090909090909091,11
his,his,3,2124.7799999999997,3.3273139698064678,0.00010000000000000003,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.015498190613260254,0.9090909090909091,11
also,also,4,206.43,2.314772812566055,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.05892989143679561,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.28656038281524004,0.9090909090909091,11
be,be,2,5746.760000000001,3.7594230602184195,0.027004741960653035,0.9090909090909091,11
all,all,3,5161.86,3.7128062214298585,0.0,0.9090909090909091,11
at,at,2,3217.099999999999,3.507464560676048,0.0034238057357789562,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.0,0.9090909090909091,11
as,as,2,2217.02,3.3457696109541177,0.0,0.9090909090909091,11
the,The,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.0,0.9090909090909091,11
,-,0,1.0,0.0,0.00010000000000000003,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.05966911025491932,0.9090909090909091,11
later,later,5,291.94,2.4652936036866424,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.23846863691332884,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.22381079378508992,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.02050561668590242,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.00010000000000000003,0.9090909090909091,11
radio,"Radio,",5,77.18000000000002,1.8875047742353779,0.0,0.9090909090909091,11
he,he,2,7637.199999999998,3.882934163885179,0.0005191546972846287,0.9090909090909091,11
for,for,3,6895.1,3.838540569153386,0.0,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.12877956684913403,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
on,on,2,6955.729999999997,3.8423427156846257,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0676668344003951,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
,&,0,1.0,0.0,0.0,0.9090909090909091,11
with,with,4,5048.330000000001,3.7031477361914535,0.0,0.9090909090909091,11
the,The,3,29449.179999999997,4.4690732065447465,0.0,0.9090909090909091,11
on,on,2,6955.729999999997,3.8423427156846257,0.0,0.9090909090909091,11
he,he,2,7637.199999999998,3.882934163885179,0.0019818187670420317,0.9090909090909091,11
the,the,3,29449.179999999997,4.4690732065447465,0.058319548334872844,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.0,0.9090909090909091,11
t,T.,1,1.0,0.0,0.00010000000000000003,0.9090909090909091,11
that,that,4,14111.31,4.14956733263194,0.0004051003094580116,0.9090909090909091,11
and,and,3,13387.839999999998,4.126710513400981,0.1475734657705625,0.9090909090909091,11
is,is,2,9013.0,3.954869371066479,0.14320704301303327,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.008222645161275927,0.9090909090909091,11
of,of,2,11577.240000000003,4.063605036452091,0.0,0.9090909090909091,11
de,de,2,42.37,1.6270584640009889,0.00010000000000000003,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.011925399007711158,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.0,0.9090909090909091,11
a,a,1,20415.269999999997,4.309955128012859,0.2239071759344145,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.0,0.9090909090909091,11
to,to,2,22677.84,4.3556016868719265,0.0009937832506425966,0.9090909090909091,11
in,in,2,9773.410000000002,3.990046118048168,0.0,0.9090909090909091,11
an,an,2,1864.1399999999996,3.2704785254773365,0.0,0.9090909090909091,11
for,for,3,6895.1,3.838540569153386,0.0,0.9090909090909091,11
,-,0,1.0,0.0,0.0,0.9090909090909091,11
the,the,3,29449.18,4.4690732065447465,0.09671007950801716,0.9,10
of,of,2,11577.240000000003,4.063605036452091,0.13969211399366374,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.0015498190613260252,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.08565152688940904,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.6417742867482069,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.5297934097839557,0.8333333333333334,12
novel,novel,5,10.06,1.0025979807199086,0.00010000000000000003,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.49529607194464026,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.013810655839468082,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.12465386782732495,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.01909667459087628,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.0013810655839468083,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.0012050666096603256,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.022426011176598263,0.8333333333333334,12
son,son,3,410.76000000000016,2.6135881451855023,0.00010000000000000003,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.10609150165040339,0.8333333333333334,12
with,with,4,5048.330000000001,3.7031477361914535,0.05696182368991776,0.8333333333333334,12
and,and,3,13387.839999999998,4.126710513400981,0.08147243263682201,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.00010000000000000003,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.0067127666816055994,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.5720089752878376,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.004293203747654103,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.0380499285612984,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.5557797314664573,0.8333333333333334,12
a,a,1,20415.269999999997,4.309955128012859,0.08489303462702948,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.16353403464795127,0.8333333333333334,12
and,and,3,13387.839999999998,4.126710513400981,0.0020505616685902416,0.8333333333333334,12
king,"King,",4,129.25,2.1114305517659804,0.00010000000000000003,0.8333333333333334,12
is,is,2,9013.0,3.954869371066479,0.0063431995107528635,0.8333333333333334,12
nee,(nee,3,0.4699999999999998,-0.32790214206428253,0.00010000000000000003,0.8333333333333334,12
over,over,4,1323.2900000000002,3.1216550305807194,0.00011587432234213276,0.8333333333333334,12
the,the,3,29449.179999999997,4.4690732065447465,0.004318936769243212,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.9217395441050472,0.8333333333333334,12
at,at,2,3217.099999999999,3.507464560676048,0.0003723695755496821,0.8333333333333334,12
15,"15,",2,1.0,0.0,0.00010000000000000003,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.0013810655839468083,0.8333333333333334,12
a,a,1,20415.269999999997,4.309955128012859,0.05171543120211907,0.8333333333333334,12
on,on,2,6955.729999999997,3.8423427156846253,0.0003277741247733477,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.0013810655839468083,0.8333333333333334,12
until,until,5,302.4700000000001,2.480682306325487,0.00010000000000000003,0.8333333333333334,12
on,on,2,6955.729999999997,3.8423427156846253,0.18089680438355815,0.8333333333333334,12
von,von,3,10.86,1.035829825252828,0.00010000000000000003,0.8333333333333334,12
at,at,2,3217.099999999999,3.507464560676048,0.9043271625658497,0.8333333333333334,12
25,"25,",2,1.0,0.0,0.00010000000000000003,0.8333333333333334,12
of,of,2,11577.240000000003,4.063605036452091,0.08885543730165991,0.8333333333333334,12
born,(born,4,83.69000000000001,1.9226735678585538,0.00010000000000000003,0.8333333333333334,12
de,de,2,42.37,1.6270584640009889,0.00020002115166201483,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.0001265976785284574,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.060718743552340075,0.8333333333333334,12
to,to,2,22677.84,4.3556016868719265,0.0007531830952238629,0.8333333333333334,12
for,for,3,6895.100000000001,3.838540569153386,0.006484480460659552,0.8333333333333334,12
by,by,2,1340.4699999999998,3.1272570988259853,0.10046063619498972,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.1040977725935275,0.8333333333333334,12
in,in,2,9773.410000000002,3.990046118048168,0.013810655839468082,0.8333333333333334,12
and,and,3,13387.839999999998,4.126710513400981,0.002050561668590242,0.8333333333333334,12
as,as,2,2217.02,3.345769610954118,0.1959737365330587,0.8333333333333334,12
