word,original_word,length,frequency,log_frequency,predictability,skip_probability,total_occurrences
of,of,2,11577.240000000003,4.063605036452091,0.2794510698761254,1.0,12
by,by,2,1340.4699999999998,3.1272570988259853,0.00043184643280285573,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.02636177739787608,1.0,12
the,the,3,29449.179999999997,4.4690732065447465,0.4757278355872116,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
the,the,3,29449.179999999997,4.4690732065447465,0.003418332980108938,1.0,12
on,on,2,6955.729999999997,3.8423427156846253,0.006051214611200264,1.0,12
in,in,2,9773.410000000002,3.990046118048168,0.47260357991879604,1.0,12
in,in,2,9773.410000000002,3.990046118048168,0.5297934097839557,1.0,12
at,at,2,3217.099999999999,3.507464560676048,0.0002893959201282855,1.0,12
to,to,2,22677.84,4.3556016868719265,0.12976396847219968,1.0,12
as,as,2,2217.02,3.345769610954118,0.6439824910220392,1.0,12
also,also,4,206.42999999999998,2.314772812566055,0.0006828308280875679,1.0,12
16,"16,",2,1.0,0.0,0.00010000000000000003,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
in,in,2,9773.410000000002,3.990046118048168,0.013810655839468082,1.0,12
c,c.,1,1.0,0.0,0.0,1.0,11
a,a,1,20415.269999999997,4.309955128012859,0.0,1.0,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,1.0,11
of,of,2,11577.240000000003,4.063605036452091,0.10085507258555919,1.0,12
4,4,1,1.0,0.0,0.0,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.013810655839468082,1.0,12
to,to,2,22677.84,4.3556016868719265,0.0,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.0,1.0,11
to,to,2,22677.84,4.3556016868719265,0.918756766252235,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.013810655839468082,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.0,1.0,11
the,the,3,29449.179999999997,4.4690732065447465,0.0,1.0,11
as,as,2,2217.02,3.345769610954118,0.0005520123967132156,1.0,12
or,or,2,1705.2900000000006,3.2317982453168246,0.001770928905381054,1.0,12
,-,0,1.0,0.0,0.0,1.0,11
by,by,2,1340.4699999999998,3.1272570988259853,0.053094465161833214,1.0,12
of,of,2,11577.240000000003,4.063605036452091,0.959077490953066,1.0,12
of,of,2,11577.240000000003,4.063605036452091,0.8642499802477209,1.0,12
the,the,3,29449.179999999997,4.4690732065447465,0.0,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.00010000000000000003,1.0,12
of,of,2,11577.240000000003,4.063605036452091,0.0,1.0,11
,-,0,1.0,0.0,0.0001103564974686978,1.0,12
to,to,2,22677.84,4.3556016868719265,0.0,1.0,11
in,in,2,9773.410000000002,3.990046118048168,0.054078524598544446,1.0,12
all,all,3,5161.86,3.7128062214298585,0.0001041489444860836,1.0,11
for,for,3,6895.1,3.838540569153386,0.0,1.0,11
j,J.,1,1.0,0.0,0.00014254380923040138,1.0,12
a,a,1,20415.269999999997,4.309955128012859,0.10918956901418315,1.0,12
a,a,1,20415.269999999997,4.309955128012859,0.05171543120211907,1.0,11
jr,Jr.,2,8.900000000000002,0.9493900066449131,0.00010000000000000003,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
a,a,1,20415.269999999997,4.309955128012859,0.11173100078234874,1.0,11
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
ii,II,2,1.1200000000000003,0.04921802267018165,0.0,1.0,11
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
in,in,2,9773.410000000002,3.990046118048168,0.1367007611313906,1.0,12
of,of,2,11577.240000000003,4.063605036452091,0.2874222457880729,1.0,12
an,an,2,1864.1399999999996,3.2704785254773365,0.007526950186531643,1.0,12
of,of,2,11577.240000000003,4.063605036452091,0.6171832730204418,1.0,11
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
the,the,3,29449.179999999997,4.4690732065447465,0.03300438986533942,1.0,12
,-,0,1.0,0.0,0.0001103564974686978,1.0,12
,-,0,1.0,0.0,0.00010000000000000003,1.0,12
and,and,3,13387.839999999998,4.126710513400981,0.02050561668590242,1.0,12
