rho,w,coverage_factor,time_condition,total_time,saccade_amplitude_mean_px,saccade_amplitude_std_px,saccade_amplitude_sem_px,n_episodes,n_saccades_total
0.1,0.5,0.0,30s,30,139.6211273078467,21.104378981203546,7.0347929937345155,9,1112
0.1,0.5,0.0,60s,60,127.49328486267073,11.578839376332299,3.8596131254440995,9,1999
0.1,0.5,0.0,90s,90,131.11100834980618,14.02290055080602,4.674300183602006,9,2878
0.1,0.5,0.5,30s,30,138.61701094265285,12.175540249156883,4.058513416385628,9,1093
0.1,0.5,0.5,60s,60,130.74814315063435,6.588823764117372,2.196274588039124,9,2003
0.1,0.5,0.5,90s,90,132.26102570921753,11.240436678205945,3.7468122260686485,9,2885
0.1,0.5,1.0,30s,30,139.016461839254,13.128764890049991,4.376254963349997,9,1099
0.1,0.5,1.0,60s,60,130.84838455995234,7.1158389598078085,2.3719463199359363,9,1990
0.1,0.5,1.0,90s,90,133.09069099744093,12.006486396307299,4.002162132102433,9,2877
0.1,0.5,1.5,30s,30,134.4270443600815,7.4726820209788904,2.4908940069929635,9,1076
0.1,0.5,1.5,60s,60,129.80294757460277,8.192476026296225,2.7308253420987416,9,2051
0.1,0.5,1.5,90s,90,134.37793149195988,15.071044342684134,5.023681447561378,9,2901
0.1,0.5,2.0,30s,30,134.03117111472665,7.267874524417395,2.422624841472465,9,1065
0.1,0.5,2.0,60s,60,129.11305751849582,9.169495501831328,3.056498500610443,9,1987
0.1,0.5,2.0,90s,90,131.94003821963489,11.2765405112516,3.758846837083867,9,2924
0.1,0.5,2.5,30s,30,130.93987785889723,6.50920854348819,2.16973618116273,9,1083
0.1,0.5,2.5,60s,60,130.12091375868312,7.986937194877997,2.6623123982926655,9,2049
0.1,0.5,2.5,90s,90,130.52949195598012,10.452581323977101,3.4841937746590337,9,2982
0.1,0.5,3.0,30s,30,132.29158695629965,7.470365014978381,2.4901216716594603,9,1070
