rho,w,coverage_factor,time_condition,total_time,saccade_amplitude_mean_px,saccade_amplitude_std_px,saccade_amplitude_sem_px,n_episodes,n_saccades_total
0.1,0.5,3.0,60s,60,128.08157077986527,7.623215523276773,2.5410718410922577,9,2018
0.1,0.5,3.0,90s,90,126.36307206966941,8.708682024342348,2.902894008114116,9,2865
0.1,0.6,0.0,30s,30,153.41168955847044,23.706918349424278,7.902306116474759,9,1089
0.1,0.6,0.0,60s,60,140.33036487898735,14.1694361114716,4.723145370490533,9,1963
0.1,0.6,0.0,90s,90,146.24568004785363,11.97411578906184,3.9913719296872796,9,2816
0.1,0.6,0.5,30s,30,152.27870670711764,15.407232858783141,5.135744286261047,9,1054
0.1,0.6,0.5,60s,60,146.8715743753281,9.543406230098666,3.181135410032889,9,1986
0.1,0.6,0.5,90s,90,148.7190485654414,14.245057237333153,4.748352412444384,9,2879
0.1,0.6,1.0,30s,30,149.6214863056227,10.431679851262952,3.4772266170876507,9,1047
0.1,0.6,1.0,60s,60,146.07388322270697,11.572072265193729,3.8573574217312427,9,1986
0.1,0.6,1.0,90s,90,149.21184038120566,11.74643186987106,3.91547728995702,9,2913
0.1,0.6,1.5,30s,30,150.84796788511824,13.673191354338657,4.557730451446219,9,1065
0.1,0.6,1.5,60s,60,144.16292648471827,12.012309938732619,4.004103312910873,9,1982
0.1,0.6,1.5,90s,90,151.65195524833905,15.435597638157532,5.145199212719177,9,2898
0.1,0.6,2.0,30s,30,147.23522587146022,7.208130670500557,2.402710223500186,9,1033
0.1,0.6,2.0,60s,60,143.65661414628187,12.081541844929848,4.027180614976616,9,2009
0.1,0.6,2.0,90s,90,146.5836448757789,12.76218266429832,4.25406088809944,9,2896
0.1,0.6,2.5,30s,30,145.69631873110245,8.763248366264381,2.9210827887547937,9,1037
0.1,0.6,2.5,60s,60,144.92241175528883,12.355595312669834,4.118531770889945,9,2014
0.1,0.6,2.5,90s,90,144.69117962518607,12.490168720510477,4.163389573503492,9,2919
0.1,0.6,3.0,30s,30,146.3337615671229,6.452348708148125,2.1507829027160414,9,1057
0.1,0.6,3.0,60s,60,143.01478957917095,11.327902331072828,3.7759674436909427,9,1980
0.1,0.6,3.0,90s,90,141.04711167750037,11.475566395899127,3.8251887986330426,9,2905
0.1,0.7,0.0,30s,30,164.8436113785695,27.34554307636233,9.11518102545411,9,1119
0.1,0.7,0.0,60s,60,159.91406434769007,15.109630895112783,5.036543631704261,9,1965
0.1,0.7,0.0,90s,90,161.46748909260086,14.45607394803115,4.8186913160103835,9,2842
0.1,0.7,0.5,30s,30,160.50014030502697,19.395265176004973,6.4650883920016575,9,1129
0.1,0.7,0.5,60s,60,161.81986483749398,14.781849573358437,4.927283191119479,9,1993
0.1,0.7,0.5,90s,90,167.18970491359923,14.777691616362437,4.925897205454146,9,2739
0.1,0.7,1.0,30s,30,161.16279062199987,12.555230915319733,4.185076971773245,9,1050
0.1,0.7,1.0,60s,60,163.3211433907978,11.994693717272101,3.9982312390907,9,2019
0.1,0.7,1.0,90s,90,171.6456060646924,12.475443560007788,4.158481186669262,9,2819
0.1,0.7,1.5,30s,30,164.5615067132447,12.10298175001437,4.03432725000479,9,995
0.1,0.7,1.5,60s,60,159.57851747759352,14.059545780995462,4.686515260331821,9,1940
0.1,0.7,1.5,90s,90,171.52627039861275,14.755434395295316,4.918478131765105,9,2785
0.1,0.7,2.0,30s,30,158.06645410814468,9.744372807093363,3.248124269031121,9,1098
0.1,0.7,2.0,60s,60,161.10813640760958,15.167782011936382,5.055927337312127,9,2009
0.1,0.7,2.0,90s,90,168.86648254069442,11.495812713615967,3.8319375712053225,9,2849
0.1,0.7,2.5,30s,30,158.6848159585276,8.029948363366033,2.6766494544553443,9,1052
0.1,0.7,2.5,60s,60,161.53644968708778,14.231042161214148,4.743680720404716,9,1955
0.1,0.7,2.5,90s,90,167.90211959704715,15.530489240043531,5.176829746681177,9,2865
0.1,0.7,3.0,30s,30,162.1167223292319,7.129064442777893,2.376354814259298,9,1069
0.1,0.7,3.0,60s,60,160.3834457174379,13.618061373202535,4.539353791067511,9,1974
0.1,0.7,3.0,90s,90,164.5732600787541,11.013426288313557,3.671142096104519,9,2869
0.1,0.8,0.0,30s,30,173.5965753454369,26.561573447474967,8.85385781582499,9,1046
0.1,0.8,0.0,60s,60,174.94790114965636,15.874097407706282,5.291365802568761,9,1935
0.1,0.8,0.0,90s,90,179.96627522768915,22.12486510477409,7.374955034924697,9,2740
0.1,0.8,0.5,30s,30,178.16979563340695,22.757136627445664,7.5857122091485545,9,1045
0.1,0.8,0.5,60s,60,178.76986709850408,17.410053566213737,5.803351188737913,9,1987
0.1,0.8,0.5,90s,90,182.73005830831698,20.354731850349694,6.784910616783232,9,2800
0.1,0.8,1.0,30s,30,174.97204504203202,12.879085498669907,4.293028499556636,9,1033
0.1,0.8,1.0,60s,60,179.16792895708215,16.12032237042217,5.373440790140723,9,1921
0.1,0.8,1.0,90s,90,187.17708010221884,18.19464537072531,6.06488179024177,9,2792
0.1,0.8,1.5,30s,30,171.00408884566806,9.962462516135794,3.3208208387119313,9,1074
0.1,0.8,1.5,60s,60,178.1966046412438,18.516277510454422,6.172092503484808,9,1963
0.1,0.8,1.5,90s,90,186.00589639597672,16.835637823786644,5.611879274595548,9,2772
0.1,0.8,2.0,30s,30,171.76178865175117,11.368622377056498,3.7895407923521662,9,1014
0.1,0.8,2.0,60s,60,178.36047744487794,20.17447556862126,6.724825189540421,9,1968
0.1,0.8,2.0,90s,90,185.4423030399291,16.444779179611967,5.481593059870655,9,2787
0.1,0.8,2.5,30s,30,172.82996778496005,9.69963610615244,3.2332120353841467,9,1067
0.1,0.8,2.5,60s,60,179.72424897774414,20.399616142040944,6.799872047346981,9,1936
0.1,0.8,2.5,90s,90,184.0181615814328,16.80501412644151,5.601671375480503,9,2726
0.1,0.8,3.0,30s,30,174.2190665478708,10.842100906863365,3.6140336356211216,9,1058
0.1,0.8,3.0,60s,60,176.68734754875973,19.289011845963717,6.429670615321239,9,1960
0.1,0.8,3.0,90s,90,177.42999051261327,16.05770346520825,5.352567821736083,9,2789
0.1,0.9,0.0,30s,30,183.0546204112505,30.189680043397043,10.063226681132347,9,1032
0.1,0.9,0.0,60s,60,190.81860709804613,14.057263607798681,4.685754535932894,9,1947
0.1,0.9,0.0,90s,90,190.38756387885704,20.252205630054142,6.750735210018047,9,2691
0.1,0.9,0.5,30s,30,185.48805151239515,18.17215368950999,6.057384563169997,9,1057
0.1,0.9,0.5,60s,60,192.6345971629795,14.768936278168914,4.922978759389638,9,1917
0.1,0.9,0.5,90s,90,192.53008714394505,20.771127988934744,6.923709329644915,9,2770
0.1,0.9,1.0,30s,30,181.73750936679994,11.602036665550246,3.8673455551834155,9,1054
0.1,0.9,1.0,60s,60,194.6584287325549,15.8416666681701,5.2805555560567,9,1922
0.1,0.9,1.0,90s,90,194.75727627599338,21.222204600819484,7.074068200273161,9,2746
0.1,0.9,1.5,30s,30,182.66157019253035,13.25195082977826,4.4173169432594195,9,1024
0.1,0.9,1.5,60s,60,190.99817942368,18.886075893666387,6.295358631222129,9,1904
0.1,0.9,1.5,90s,90,197.71937717051873,18.213465210706392,6.071155070235464,9,2715
0.1,0.9,2.0,30s,30,179.51402923580878,10.64623726164487,3.5487457538816236,9,995
0.1,0.9,2.0,60s,60,190.32352867925627,18.533976510734615,6.177992170244871,9,1925
0.1,0.9,2.0,90s,90,194.75650037917313,20.1939141917219,6.731304730573966,9,2742
0.1,0.9,2.5,30s,30,183.50977455602379,9.174161406132997,3.0580538020443324,9,1038
0.1,0.9,2.5,60s,60,194.14071072938856,22.067752653206735,7.355917551068912,9,1937
0.1,0.9,2.5,90s,90,191.15317375798182,20.65254012506026,6.884180041686753,9,2741
0.1,0.9,3.0,30s,30,184.4589904037814,10.563586672378031,3.5211955574593437,9,1060
0.1,0.9,3.0,60s,60,187.9241347650905,16.450675100720375,5.4835583669067915,9,1900
0.1,0.9,3.0,90s,90,187.87308805129467,19.712370834791294,6.570790278263765,9,2741
0.1,1.0,0.0,30s,30,193.61324598592034,28.347613184714096,9.449204394904699,9,1061
0.1,1.0,0.0,60s,60,202.70512880285298,16.9279362196842,5.6426454065614,9,1944
0.1,1.0,0.0,90s,90,203.31689244798017,20.7213670854453,6.907122361815101,9,2653
0.1,1.0,0.5,30s,30,192.7578009065329,20.65877018172498,6.886256727241659,9,1025
0.1,1.0,0.5,60s,60,202.52231473134708,19.18794170662429,6.395980568874763,9,2011
0.1,1.0,0.5,90s,90,203.95557735836599,20.072517513140948,6.690839171046982,9,2683
0.1,1.0,1.0,30s,30,191.9667195961641,17.77438081264892,5.924793604216307,9,1023
0.1,1.0,1.0,60s,60,203.30033076574273,17.421147567996112,5.807049189332037,9,1905
0.1,1.0,1.0,90s,90,204.27731645972574,20.19035276728451,6.730117589094836,9,2718
0.1,1.0,1.5,30s,30,193.14974723113906,14.738996477868454,4.9129988259561514,9,1053
0.1,1.0,1.5,60s,60,202.8470240818562,21.505430893465583,7.168476964488527,9,1985
0.1,1.0,1.5,90s,90,205.59352504130135,18.48744105193788,6.16248035064596,9,2681
0.1,1.0,2.0,30s,30,192.9596315683209,12.18403176932305,4.0613439231076836,9,1022
0.1,1.0,2.0,60s,60,201.0316661885127,19.073291619729865,6.357763873243289,9,1939
0.1,1.0,2.0,90s,90,204.65374724349311,20.801480109673747,6.933826703224582,9,2673
0.1,1.0,2.5,30s,30,194.03621616329355,8.908074013937073,2.969358004645691,9,1061
0.1,1.0,2.5,60s,60,205.8513363275864,20.85374322315442,6.951247741051474,9,1949
0.1,1.0,2.5,90s,90,201.95107299191642,17.63358757122964,5.877862523743214,9,2700
0.1,1.0,3.0,30s,30,196.88952106026557,9.308709293605276,3.1029030978684253,9,1042
0.1,1.0,3.0,60s,60,199.74585006348153,19.845499082987338,6.615166360995779,9,1906
0.1,1.0,3.0,90s,90,200.4491466292359,19.84989938968034,6.616633129893446,9,2678
0.15,0.5,0.0,30s,30,140.8131504597426,18.53155604560036,6.177185348533453,9,1039
0.15,0.5,0.0,60s,60,128.52939459320405,8.879851972408847,2.9599506574696157,9,1877
0.15,0.5,0.0,90s,90,131.79793361675408,14.94419237881608,4.98139745960536,9,2777
0.15,0.5,0.5,30s,30,138.570969494965,12.663376205282653,4.221125401760884,9,1017
0.15,0.5,0.5,60s,60,131.80361767768937,5.896594336791344,1.9655314455971145,9,1885
0.15,0.5,0.5,90s,90,130.41521155054525,8.234089592314692,2.7446965307715643,9,2791
0.15,0.5,1.0,30s,30,139.12863892001766,13.361051360113072,4.4536837867043575,9,1109
0.15,0.5,1.0,60s,60,130.46156199222312,7.254165607944482,2.4180552026481608,9,1950
0.15,0.5,1.0,90s,90,133.34117367657765,12.939318337106151,4.313106112368717,9,2757
0.15,0.5,1.5,30s,30,138.49933112902627,7.833162246980179,2.6110540823267265,9,1032
0.15,0.5,1.5,60s,60,129.06950698709923,8.33584443134294,2.7786148104476465,9,1922
0.15,0.5,1.5,90s,90,133.18349965752492,13.752641292622494,4.584213764207498,9,2745
0.15,0.5,2.0,30s,30,134.4660643200575,6.249813854752328,2.083271284917443,9,1029
0.15,0.5,2.0,60s,60,128.54845057193305,8.877550384071803,2.959183461357268,9,1933
0.15,0.5,2.0,90s,90,129.58986579872396,9.040206417865067,3.0134021392883557,9,2733
0.15,0.5,2.5,30s,30,132.2495780975608,6.168250541423622,2.056083513807874,9,1033
0.15,0.5,2.5,60s,60,128.7880787175956,7.70411964765131,2.5680398825504365,9,1969
0.15,0.5,2.5,90s,90,129.78920688050397,9.237328998743058,3.079109666247686,9,2846
0.15,0.5,3.0,30s,30,132.1619331467495,7.530601609780461,2.5102005365934867,9,1055
0.15,0.5,3.0,60s,60,127.17879532326586,7.974754565735406,2.658251521911802,9,1925
0.15,0.5,3.0,90s,90,126.10068417067939,8.429037495597289,2.809679165199096,9,2794
0.15,0.6,0.0,30s,30,151.85449407154874,25.75519573827684,8.58506524609228,9,962
0.15,0.6,0.0,60s,60,140.05688218560329,13.787874060736945,4.595958020245648,9,1884
0.15,0.6,0.0,90s,90,147.27030637403863,15.150853472176147,5.0502844907253825,9,2677
0.15,0.6,0.5,30s,30,157.32283277364024,17.781850317533163,5.927283439177721,9,985
0.15,0.6,0.5,60s,60,145.27566518139457,8.3210853840372,2.7736951280124003,9,1891
0.15,0.6,0.5,90s,90,149.3972538545031,13.843054744868146,4.614351581622715,9,2755
0.15,0.6,1.0,30s,30,154.8711477717352,15.296679028186727,5.098893009395575,9,1005
0.15,0.6,1.0,60s,60,146.6927041877395,10.10182514537477,3.3672750484582568,9,1876
0.15,0.6,1.0,90s,90,150.7194915940166,14.039205223050729,4.679735074350243,9,2730
0.15,0.6,1.5,30s,30,149.86253994155064,11.532560584369598,3.844186861456533,9,1010
0.15,0.6,1.5,60s,60,145.3825124241705,12.556714232364097,4.185571410788032,9,1945
0.15,0.6,1.5,90s,90,150.77649931230147,15.649664627608626,5.216554875869542,9,2700
0.15,0.6,2.0,30s,30,146.8393867830083,6.989475095049483,2.329825031683161,9,995
0.15,0.6,2.0,60s,60,142.1337581103746,11.06246524084162,3.6874884136138735,9,1894
0.15,0.6,2.0,90s,90,145.55531862141535,11.907206519121976,3.9690688397073255,9,2791
0.15,0.6,2.5,30s,30,144.0630555501524,7.589021557451033,2.5296738524836777,9,993
0.15,0.6,2.5,60s,60,143.91537368735365,12.468971394930605,4.1563237983102015,9,1918
0.15,0.6,2.5,90s,90,144.88059768935494,12.223862629100175,4.074620876366725,9,2770
0.15,0.6,3.0,30s,30,146.33899068842936,8.193898226366159,2.7312994087887197,9,991
0.15,0.6,3.0,60s,60,142.65162317175066,11.407153534733135,3.8023845115777117,9,1942
0.15,0.6,3.0,90s,90,142.29234493211192,8.345632082660506,2.7818773608868352,9,2816
0.15,0.7,0.0,30s,30,161.6134582869776,24.482933323346998,8.160977774449,9,1019
0.15,0.7,0.0,60s,60,155.92102215827197,14.338484110904467,4.779494703634822,9,1832
0.15,0.7,0.0,90s,90,165.03345337630827,14.00948471727988,4.6698282390932935,9,2621
0.15,0.7,0.5,30s,30,163.34795126455714,22.57710309368114,7.5257010312270465,9,1015
0.15,0.7,0.5,60s,60,163.06663788543474,15.216369759155715,5.072123253051905,9,1927
0.15,0.7,0.5,90s,90,166.70587700073565,12.364468357274687,4.121489452424895,9,2640
0.15,0.7,1.0,30s,30,165.97157968124753,14.290911235970094,4.763637078656698,9,1003
0.15,0.7,1.0,60s,60,163.295801988231,10.299962363553476,3.4333207878511587,9,1912
0.15,0.7,1.0,90s,90,170.58422119595247,13.00666744748668,4.335555815828894,9,2754
0.15,0.7,1.5,30s,30,163.80763863635215,12.849622412397679,4.283207470799226,9,1004
0.15,0.7,1.5,60s,60,160.88676824701955,13.019791373152408,4.339930457717469,9,1839
0.15,0.7,1.5,90s,90,171.5789756029266,16.450972286971428,5.483657428990476,9,2729
0.15,0.7,2.0,30s,30,159.38490103256433,7.087789215234664,2.362596405078221,9,1003
0.15,0.7,2.0,60s,60,159.09160779492834,13.018610368812903,4.339536789604301,9,1848
0.15,0.7,2.0,90s,90,170.7699366443875,16.53972367218905,5.513241224063017,9,2693
0.15,0.7,2.5,30s,30,158.83264696339194,7.638174181461778,2.5460580604872596,9,992
0.15,0.7,2.5,60s,60,160.88954454048832,16.115763888781217,5.371921296260406,9,1903
0.15,0.7,2.5,90s,90,169.36771635620505,17.763519885855747,5.921173295285249,9,2775
0.15,0.7,3.0,30s,30,161.90206204394917,7.585638565635143,2.5285461885450475,9,1000
0.15,0.7,3.0,60s,60,159.82866742251073,13.685644937018886,4.561881645672962,9,1870
0.15,0.7,3.0,90s,90,160.87205450231363,12.020154156681627,4.0067180522272094,9,2683
0.15,0.8,0.0,30s,30,174.40862509457608,30.613081276772288,10.204360425590762,9,998
0.15,0.8,0.0,60s,60,175.57447345520944,16.57743272848245,5.52581090949415,9,1857
0.15,0.8,0.0,90s,90,183.51205943012135,21.604320395425813,7.201440131808604,9,2717
0.15,0.8,0.5,30s,30,177.4195260699559,20.674557107105386,6.891519035701795,9,998
0.15,0.8,0.5,60s,60,176.8152599094781,16.76640140675085,5.58880046891695,9,1864
0.15,0.8,0.5,90s,90,182.9724169684127,19.38117699809572,6.460392332698574,9,2694
0.15,0.8,1.0,30s,30,171.96537422919323,12.67729681508098,4.225765605026994,9,1001
0.15,0.8,1.0,60s,60,179.10234965879565,16.181373797966206,5.393791265988735,9,1917
0.15,0.8,1.0,90s,90,185.80698902899024,17.30828013744946,5.7694267124831535,9,2642
0.15,0.8,1.5,30s,30,175.17941054000968,13.262619152348112,4.420873050782704,9,915
0.15,0.8,1.5,60s,60,176.21683919344565,19.606161212077208,6.535387070692402,9,1865
0.15,0.8,1.5,90s,90,186.14734079860813,16.07875615553061,5.35958538517687,9,2632
0.15,0.8,2.0,30s,30,172.2594271790636,9.242867191761798,3.080955730587266,9,987
0.15,0.8,2.0,60s,60,176.69239751281376,18.167171832962502,6.055723944320834,9,1883
0.15,0.8,2.0,90s,90,183.7047745207872,14.990983879778502,4.996994626592834,9,2671
0.15,0.8,2.5,30s,30,171.46467321966026,9.7015984197088,3.233866139902933,9,1016
0.15,0.8,2.5,60s,60,178.65023575479358,20.043546226476014,6.681182075492004,9,1898
0.15,0.8,2.5,90s,90,184.48100814848206,20.09302940297731,6.697676467659104,9,2688
0.15,0.8,3.0,30s,30,175.7661208286509,11.86420831621378,3.9547361054045935,9,1033
0.15,0.8,3.0,60s,60,174.8984432309775,17.815577355485562,5.938525785161854,9,1845
0.15,0.8,3.0,90s,90,175.04677277867074,16.24337297412611,5.4144576580420365,9,2690
0.15,0.9,0.0,30s,30,181.67195427205232,30.9627580693121,10.320919356437367,9,1008
0.15,0.9,0.0,60s,60,189.57061604172645,13.07694001780613,4.3589800059353765,9,1868
0.15,0.9,0.0,90s,90,194.23923025307022,18.061768388246083,6.020589462748695,9,2563
0.15,0.9,0.5,30s,30,185.71348826016998,17.95458943924794,5.98486314641598,9,1006
0.15,0.9,0.5,60s,60,190.65494099495493,14.40710361588577,4.802367871961923,9,1859
0.15,0.9,0.5,90s,90,193.88802526359848,18.230660108238336,6.076886702746112,9,2705
0.15,0.9,1.0,30s,30,181.95954273444653,11.7338044700542,3.911268156684733,9,1022
0.15,0.9,1.0,60s,60,192.22429568125224,13.899907056644423,4.633302352214808,9,1863
0.15,0.9,1.0,90s,90,198.49707355809286,16.787240035499934,5.595746678499978,9,2613
0.15,0.9,1.5,30s,30,182.11465644670952,10.704976381654342,3.5683254605514474,9,971
0.15,0.9,1.5,60s,60,191.11997039075658,16.57227701419072,5.524092338063574,9,1880
0.15,0.9,1.5,90s,90,202.32807912195528,18.68260212693056,6.227534042310187,9,2640
0.15,0.9,2.0,30s,30,179.39791558367978,8.080082996231193,2.693360998743731,9,967
0.15,0.9,2.0,60s,60,188.24687929955616,19.10396872793736,6.36798957597912,9,1866
0.15,0.9,2.0,90s,90,195.99895058136548,19.70544629827704,6.56848209942568,9,2624
0.15,0.9,2.5,30s,30,181.46406320073362,9.165266493133107,3.055088831044369,9,1013
0.15,0.9,2.5,60s,60,193.88029625684658,20.99602476069793,6.998674920232644,9,1862
0.15,0.9,2.5,90s,90,191.3822919771933,23.75734509937596,7.91911503312532,9,2636
0.15,0.9,3.0,30s,30,182.80413275804406,6.1845605853598995,2.0615201951199666,9,961
0.15,0.9,3.0,60s,60,187.98683167231925,17.36248079383217,5.7874935979440565,9,1837
0.15,0.9,3.0,90s,90,187.25302251210928,18.362784081311293,6.120928027103765,9,2643
0.15,1.0,0.0,30s,30,191.7806404395488,27.496107993355558,9.16536933111852,9,1009
0.15,1.0,0.0,60s,60,198.30441371561614,17.733928204439792,5.91130940147993,9,1847
0.15,1.0,0.0,90s,90,202.44680702144024,21.09795008840608,7.0326500294686936,9,2539
0.15,1.0,0.5,30s,30,193.64169863647632,21.293704947084493,7.097901649028164,9,953
0.15,1.0,0.5,60s,60,202.07173464425222,15.674171420405658,5.224723806801886,9,1763
0.15,1.0,0.5,90s,90,205.92958102504355,21.476777245646982,7.158925748548994,9,2589
0.15,1.0,1.0,30s,30,192.059125750666,14.398063385776341,4.799354461925447,9,959
0.15,1.0,1.0,60s,60,203.75147658367112,14.736698887928533,4.912232962642844,9,1768
0.15,1.0,1.0,90s,90,207.51329350512472,20.20617442198596,6.73539147399532,9,2591
0.15,1.0,1.5,30s,30,193.3588904494711,15.959588472673946,5.319862824224649,9,960
0.15,1.0,1.5,60s,60,203.03669927708245,19.69900902028458,6.5663363400948604,9,1837
0.15,1.0,1.5,90s,90,208.55653938392243,20.369243160026063,6.7897477200086875,9,2611
0.15,1.0,2.0,30s,30,191.34881155988572,12.159691554044812,4.053230518014938,9,998
0.15,1.0,2.0,60s,60,201.84080708582843,19.513802722245753,6.504600907415251,9,1829
0.15,1.0,2.0,90s,90,206.55281163893355,19.442263173474768,6.480754391158256,9,2566
0.15,1.0,2.5,30s,30,193.93406356752484,9.909482150362576,3.3031607167875254,9,970
0.15,1.0,2.5,60s,60,205.20266753039542,21.61615910410277,7.205386368034257,9,1862
0.15,1.0,2.5,90s,90,205.71735476790022,20.324738651093618,6.774912883697873,9,2535
0.15,1.0,3.0,30s,30,197.80763930009948,11.297157595105197,3.7657191983683993,9,1008
0.15,1.0,3.0,60s,60,201.42747433940536,18.838676918225953,6.2795589727419845,9,1840
0.15,1.0,3.0,90s,90,199.49981299917624,18.768968077881127,6.256322692627042,9,2648
0.2,0.5,0.0,30s,30,139.16389589684383,17.60903169677688,5.869677232258961,9,1032
0.2,0.5,0.0,60s,60,129.4764850646014,9.510901240960823,3.170300413653608,9,1844
0.2,0.5,0.0,90s,90,130.31892749118742,12.345746361396268,4.1152487871320895,9,2643
0.2,0.5,0.5,30s,30,137.7060669799281,10.139760009937708,3.3799200033125696,9,969
0.2,0.5,0.5,60s,60,127.36028227786339,8.54348570745355,2.8478285691511833,9,1795
0.2,0.5,0.5,90s,90,130.30690138432553,8.636849654844177,2.878949884948059,9,2630
0.2,0.5,1.0,30s,30,136.70531611689182,7.266910386047208,2.4223034620157358,9,1001
0.2,0.5,1.0,60s,60,129.27766849199003,6.0832770170836925,2.027759005694564,9,1830
0.2,0.5,1.0,90s,90,132.76681390793416,13.411977267645678,4.470659089215226,9,2627
0.2,0.5,1.5,30s,30,137.83569409725425,7.963046980525286,2.6543489935084286,9,1014
0.2,0.5,1.5,60s,60,128.29788146872508,7.368613871172886,2.4562046237242954,9,1829
0.2,0.5,1.5,90s,90,131.19242922639648,10.420505235999025,3.4735017453330084,9,2540
0.2,0.5,2.0,30s,30,134.12724299184873,7.160098355039353,2.3866994516797844,9,994
0.2,0.5,2.0,60s,60,128.4740151949546,7.692159516157374,2.564053172052458,9,1870
0.2,0.5,2.0,90s,90,129.56099218790393,8.890100706116856,2.963366902038952,9,2578
0.2,0.5,2.5,30s,30,131.3269495132936,7.203983208071668,2.4013277360238896,9,988
0.2,0.5,2.5,60s,60,128.11996568759525,6.961471265768743,2.3204904219229143,9,1883
0.2,0.5,2.5,90s,90,127.9835560685213,9.448797093267698,3.149599031089233,9,2624
0.2,0.5,3.0,30s,30,133.30713850907372,7.447896426974134,2.4826321423247113,9,971
0.2,0.5,3.0,60s,60,126.69103424213439,7.063593344543856,2.3545311148479517,9,1809
0.2,0.5,3.0,90s,90,125.39442617292005,8.13684099495556,2.712280331651853,9,2664
0.2,0.6,0.0,30s,30,153.07963505776513,25.136357609013437,8.378785869671146,9,1018
0.2,0.6,0.0,60s,60,144.12557004559307,14.19972019184371,4.733240063947903,9,1724
0.2,0.6,0.0,90s,90,148.22220933081448,18.685082123669886,6.228360707889962,9,2584
0.2,0.6,0.5,30s,30,158.31982040457626,13.704894705163197,4.568298235054399,9,983
0.2,0.6,0.5,60s,60,142.78745826164842,12.709896562221802,4.236632187407268,9,1792
0.2,0.6,0.5,90s,90,146.3712296741289,12.25304874084445,4.084349580281484,9,2548
0.2,0.6,1.0,30s,30,152.72586725575422,14.520874037822818,4.84029134594094,9,989
0.2,0.6,1.0,60s,60,146.15463231203023,9.29159406602895,3.0971980220096498,9,1820
0.2,0.6,1.0,90s,90,149.35547697643904,15.000239618322308,5.000079872774102,9,2630
0.2,0.6,1.5,30s,30,150.44037598477988,10.94601913235282,3.6486730441176065,9,981
0.2,0.6,1.5,60s,60,142.46319064304947,11.00343834068415,3.6678127802280502,9,1767
0.2,0.6,1.5,90s,90,149.09544639627748,16.91044660142081,5.636815533806936,9,2565
0.2,0.6,2.0,30s,30,146.5006778352026,7.635108258762384,2.545036086254128,9,968
0.2,0.6,2.0,60s,60,142.4848593012689,11.869281876723468,3.956427292241156,9,1858
0.2,0.6,2.0,90s,90,147.20939950304845,13.27958567013083,4.426528556710276,9,2644
0.2,0.6,2.5,30s,30,144.01527265638614,7.769351985323112,2.589783995107704,9,1008
0.2,0.6,2.5,60s,60,143.59393370514536,12.057545494478433,4.019181831492811,9,1869
0.2,0.6,2.5,90s,90,144.31105475512706,12.934905990688588,4.311635330229529,9,2627
0.2,0.6,3.0,30s,30,146.256628777047,8.976876895625665,2.9922922985418885,9,940
0.2,0.6,3.0,60s,60,142.92615798802368,11.729523332849558,3.9098411109498525,9,1870
0.2,0.6,3.0,90s,90,140.11956561999312,10.603547442372657,3.534515814124219,9,2645
0.2,0.7,0.0,30s,30,163.7205453151199,23.72010338031394,7.906701126771313,9,996
0.2,0.7,0.0,60s,60,157.80478290877687,18.839907790957128,6.279969263652376,9,1759
0.2,0.7,0.0,90s,90,166.88623833804223,14.071160367674388,4.690386789224796,9,2576
0.2,0.7,0.5,30s,30,166.38696491856794,20.593211846533983,6.864403948844661,9,953
0.2,0.7,0.5,60s,60,165.89837798280723,10.345366094895265,3.4484553649650884,9,1791
