length 3 dataset,,length 4 dataset,,length 5 dataset,,length 6 dataset,,length 7 dataset,,length 8 dataset,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,22.02380952380952,0.022471910112359605,16.78571428571428,0.022471910112359605,13.809523809523807,0.022471910112359605,12.023809523809518,0.022471910112359605,10.357142857142854,0.022471910112359605,10.952380952380949
1.056179775280899,23.809523809523807,1.0112359550561802,19.285714285714285,1.0337078651685399,16.07142857142857,1.0337078651685399,13.928571428571427,1.0337078651685399,12.142857142857139,1.0112359550561802,10.833333333333329
2.02247191011236,26.428571428571423,2.02247191011236,21.9047619047619,2.02247191011236,19.166666666666664,2,15.952380952380949,2,14.999999999999996,2.02247191011236,14.047619047619044
3.01123595505618,28.33333333333333,3.01123595505618,22.738095238095234,3.01123595505618,20.83333333333333,3.01123595505618,19.999999999999996,3.03370786516854,18.809523809523803,3.03370786516854,18.09523809523809
,,4.02247191011236,19.64285714285714,5.03370786516854,12.619047619047613,4.000000000000001,18.09523809523809,4.000000000000001,17.857142857142854,4.02247191011236,18.809523809523803
,,,,4.000000000000001,17.619047619047613,5.01123595505618,12.976190476190471,5.01123595505618,12.738095238095234,5.03370786516854,11.785714285714281
,,,,,,6.02247191011236,7.380952380952376,6.02247191011236,7.976190476190471,6.000000000000001,8.571428571428566
,,,,,,,,7.01123595505618,5.119047619047617,7.03370786516854,3.6904761904761862
,,,,,,,,,,8,2.976190476190471
