class,log_frequency,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,0.32264612953986377,277.1664674015613,193.99885333770564,22419,1.2956599796372186,274.62697384147236,279.70596096165025
class 2,1.3233836449533178,272.0619755978161,184.52114512876383,2206,3.9286504295336857,264.36182075593007,279.76213043970216
class 3,2.3161261872401373,292.2610419875552,198.62008627379254,240,12.820871439344646,267.1321339664397,317.38995000867067
class 4,3.255847171926054,347.6405660325102,206.88946898806668,31,37.1584455637608,274.81001272753906,420.47111933748135
class 5,4.3777825526446605,135.12476420120018,70.39889374746963,3,40.64482025575345,55.460916499923414,214.78861190247693
