class,logit_predictability,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,-1.9541894702233453,271.6052341274984,192.8963853357121,1143,5.705595439016104,260.42226706702684,282.78820118797
class 2,-1.2173938489941776,270.8944153361806,186.51566502194237,1810,4.3840553200134,262.30166690895436,279.48716376340684
class 3,-0.7205611784418697,267.72186158471857,188.4813044752236,3660,3.1154998606334567,261.615481857877,273.82824131156013
class 4,-0.24591990935243888,242.27621599343456,178.24127849449127,5853,2.329802068784255,237.70980393861743,246.8426280482517
class 5,0.6782191745032264,209.4088391945342,149.4135469176123,12634,1.3292893928307994,206.80343198458584,212.01424640448258
