participant_index,stimulus_index,time_constraint,MCQ Accuracy,Free Recall Score
23,5,90,0.8,0.7
23,6,90,0.8,0.8
23,7,90,1,0.7
23,8,30,0.8,0.7
24,0,60,0.6,0.8
24,1,30,0.4,0.7
24,2,30,0,0.6
24,3,30,0.6,0.7
24,4,90,1,0.8
24,5,90,1,0.7
24,6,90,0.8,0.8
24,7,60,1,0.7
24,8,60,0.8,0.7
25,0,60,0.6,0.7
25,1,30,0.6,0.7
25,2,30,0.6,0.6
25,3,30,0.4,0.4
25,4,90,0.6,0.6
25,5,90,1,0.6
25,6,90,0.8,0.7
25,7,60,0.8,0.6
25,8,60,0.8,0.7
26,0,60,0.8,0.7
26,1,60,0.8,0.7
26,2,30,0,0.5
26,3,30,0.6,0.6
26,4,30,0.6,0.6
26,5,90,1,0.6
26,6,90,0.8,0.6
26,7,90,0.8,0.7
26,8,60,0.8,0.7
27,0,90,0.8,0.8
27,1,60,0.8,0.8
27,2,60,0.8,0.7
27,3,60,0.8,0.7
27,4,30,0.8,0.6
27,5,30,0.8,0.6
27,6,30,1,0.7
27,7,90,1,0.8
27,8,90,1,0.7
28,0,60,0.6,0.7
28,1,60,0.8,0.8
28,2,60,0.2,0.7
28,3,90,0.8,0.7
28,4,90,0.8,0.7
28,5,90,1,0.8
28,6,30,0.6,0.6
28,7,30,0.6,0.7
28,8,30,0.6,0.7
29,0,90,0.8,0.9
29,1,90,0.8,0.9
29,2,30,0.6,0.7
29,3,30,0.6,0.8
29,4,30,0.6,0.8
29,5,60,1,0.8
29,6,60,0.8,0.9
29,7,60,0.8,0.9
29,8,90,1,0.9
30,0,90,0.8,0.8
30,1,60,0.4,0.9
30,2,60,0.4,0.7
30,3,60,0.4,0.7
30,4,30,0.4,0.5
30,5,30,0.4,0.7
30,6,30,0.6,0.7
30,7,90,0.8,0.8
30,8,90,0.8,0.9
31,0,60,0.8,0.8
31,1,60,0.8,0.9
31,2,60,0.8,0.8
31,3,90,0.6,0.8
31,4,90,1,0.7
31,5,90,0.8,0.8
31,6,30,0.4,0.7
31,7,30,0.8,0.6
31,8,30,0.6,0.5
32,0,90,0.4,0.7
32,1,90,0.8,0.9
32,2,60,0.4,0.6
32,3,60,0.4,0.7
32,4,60,0.6,0.7
32,5,30,0.8,0.7
32,6,30,0.8,0.6
32,7,30,0.6,0.8
32,8,90,0.4,0.8
