time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
30s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
30s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
30s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
30s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,12,0,0.0,0.6457307060755336,0.002976190476190476
30s,"[0.4, 0.5)",0.4,0.5,0.45,240,12,0.05,0.6724115601337847,0.0554312199641778
30s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,192,26,0.13541666666666666,0.6778516839063715,0.10615859834609835
30s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,18,4,0.2222222222222222,0.699537037037037,0.2222222222222222
30s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
30s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
30s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
