time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
30s_60s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
30s_60s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
30s_60s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
30s_60s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,23,1,0.043478260869565216,0.6489076890126366,0.03105590062111801
30s_60s,"[0.4, 0.5)",0.4,0.5,0.45,571,110,0.19264448336252188,0.7030408146890089,0.13926576871744542
30s_60s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,447,115,0.25727069351230425,0.7114694775768602,0.19194522852240975
30s_60s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,33,12,0.36363636363636365,0.7608585858585859,0.37272727272727274
30s_60s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
30s_60s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
30s_60s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
