time_subset,initial_appraisal_bin,initial_appraisal_bin_left,initial_appraisal_bin_right,initial_appraisal_bin_center,n_sentences,n_reread,probability_of_rereading,mean_initial_coverage,mean_return_coverage
60s,"[0.0, 0.1)",0.0,0.1,0.05,0,0,,,
60s,"[0.1, 0.2)",0.1,0.2,0.15000000000000002,0,0,,,
60s,"[0.2, 0.3)",0.2,0.30000000000000004,0.25,0,0,,,
60s,"[0.3, 0.4)",0.30000000000000004,0.4,0.35000000000000003,11,1,0.09090909090909091,0.6523734885803851,0.06168831168831168
60s,"[0.4, 0.5)",0.4,0.5,0.45,331,98,0.29607250755287007,0.7252493376293528,0.2000521484781228
60s,"[0.5, 0.6)",0.5,0.6000000000000001,0.55,255,89,0.34901960784313724,0.7367816986934635,0.2565375147728089
60s,"[0.6, 0.7)",0.6000000000000001,0.7000000000000001,0.6500000000000001,15,8,0.5333333333333333,0.8344444444444444,0.5533333333333333
60s,"[0.7, 0.8)",0.7000000000000001,0.8,0.75,0,0,,,
60s,"[0.8, 0.9)",0.8,0.9,0.8500000000000001,0,0,,,
60s,"[0.9, 1.0)",0.9,1.0,0.95,0,0,,,
