source,participant_id,stimulus_index,time_condition,total_time,reading_speed,skip_rate,regression_rate
human,25,2,30s,30,134.0,0.3048780487804878,0.5783132530120482
human,25,3,30s,30,104.0,0.35294117647058826,0.028985507246376812
human,25,0,60s,60,89.0,0.1965811965811966,0.3135593220338983
human,25,7,60s,60,112.0,0.2868217054263566,0.23846153846153847
human,25,8,60s,60,108.0,0.27941176470588236,0.4744525547445255
human,25,4,90s,90,128.0,0.27510917030567683,0.5260869565217391
human,25,5,90s,90,99.33333333333333,0.18660287081339713,0.19047619047619047
human,25,6,90s,90,94.66666666666666,0.22702702702702704,0.3387096774193548
human,26,2,30s,30,216.0,0.2601626016260163,0.33064516129032256
human,26,3,30s,30,206.0,0.38211382113821135,0.1774193548387097
human,26,4,30s,30,190.0,0.26666666666666666,0.24793388429752067
human,26,0,60s,60,175.0,0.27310924369747897,0.4184100418410041
human,26,1,60s,60,184.0,0.19730941704035876,0.3392857142857143
human,26,8,60s,60,198.0,0.2916666666666667,0.49377593360995853
human,26,5,90s,90,195.33333333333334,0.29315068493150687,0.6693989071038251
human,26,6,90s,90,169.33333333333334,0.2433234421364985,0.5798816568047337
human,26,7,90s,90,178.0,0.3203883495145632,0.603225806451613
human,27,4,30s,30,252.0,0.5579710144927537,0.6258992805755396
human,27,5,30s,30,228.0,0.575,0.38016528925619836
human,27,6,30s,30,220.0,0.46721311475409844,0.25203252032520324
human,27,8,30s,30,634.0,0.509090909090909,0.7311178247734139
human,27,1,60s,60,235.0,0.5219123505976095,0.753968253968254
human,27,2,60s,60,226.0,0.4899598393574297,0.6919999999999998
human,27,3,60s,60,224.0,0.6059322033898306,0.6540084388185654
human,27,0,90s,90,195.33333333333334,0.4646153846153846,0.7269938650306749
human,27,7,90s,90,232.0,0.6446280991735537,0.7857142857142857
human,28,6,30s,30,186.0,0.4298245614035088,0.40869565217391307
human,28,7,30s,30,198.0,0.45045045045045046,0.35714285714285715
human,28,8,30s,30,196.0,0.5178571428571429,0.30973451327433627
human,28,0,60s,60,147.0,0.23300970873786409,0.2946859903381642
human,28,1,60s,60,151.0,0.2560386473429952,0.5913461538461539
human,28,2,60s,60,152.0,0.20673076923076925,0.2966507177033493
human,28,3,90s,90,149.33333333333334,0.2631578947368421,0.5679012345679012
human,28,4,90s,90,146.66666666666669,0.2549019607843137,0.46579804560260585
human,28,5,90s,90,144.66666666666666,0.2607260726072607,0.5361842105263158
human,29,2,30s,30,204.0,0.29508196721311475,0.3008130081300813
human,29,3,30s,30,198.0,0.4017094017094017,0.3728813559322034
human,29,4,30s,30,198.0,0.43362831858407075,0.20175438596491227
human,29,5,60s,60,177.0,0.3495575221238938,0.5022026431718062
human,29,6,60s,60,180.0,0.3392857142857143,0.5422222222222223
human,29,7,60s,60,214.0,0.45493562231759654,0.5982905982905983
human,29,0,90s,90,190.0,0.3457142857142857,0.7407407407407408
human,29,1,90s,90,188.0,0.38109756097560976,0.6565349544072948
human,29,8,90s,90,194.66666666666666,0.3505747126436782,0.673352435530086
human,30,4,30s,30,170.0,0.4174757281553398,0.23076923076923075
human,30,5,30s,30,154.0,0.33980582524271846,0.19230769230769235
human,30,6,30s,30,166.0,0.2830188679245283,0.12149532710280374
human,30,1,60s,60,164.0,0.22488038277511962,0.3047619047619048
human,30,2,60s,60,159.0,0.23004694835680753,0.5467289719626168
human,30,3,60s,60,149.0,0.23923444976076558,0.3523809523809524
human,30,0,90s,90,137.33333333333331,0.2292358803986711,0.543046357615894
human,30,7,90s,90,168.66666666666666,0.3498349834983499,0.6809210526315791
human,30,8,90s,90,154.66666666666669,0.2379421221864952,0.4551282051282051
human,31,6,30s,30,148.0,0.3146067415730337,0.05555555555555555
human,31,7,30s,30,192.0,0.5333333333333333,0.3113207547169811
human,31,8,30s,30,170.0,0.3535353535353536,0.12
human,31,0,60s,60,160.0,0.30303030303030304,0.4472361809045226
human,31,1,60s,60,172.0,0.35960591133004927,0.5245098039215687
human,31,2,60s,60,173.0,0.32057416267942584,0.5380952380952381
human,31,3,90s,90,170.0,0.38110749185667747,0.6201298701298701
human,31,4,90s,90,168.66666666666666,0.33774834437086093,0.5610561056105611
human,31,5,90s,90,141.33333333333334,0.30943396226415093,0.5526315789473685
human,32,5,30s,30,128.0,0.18681318681318682,0.2717391304347826
human,32,6,30s,30,100.0,0.136986301369863,0.04054054054054054
human,32,7,30s,30,128.0,0.2857142857142857,0.03529411764705882
human,32,2,60s,60,125.00000000000001,0.13186813186813187,0.273224043715847
human,32,3,60s,60,116.0,0.24096385542168675,0.0718562874251497
human,32,4,60s,60,102.0,0.21568627450980393,0.07792207792207792
human,32,0,90s,90,114.0,0.18803418803418803,0.31063829787234043
human,32,1,90s,90,129.33333333333331,0.24621212121212122,0.44150943396226416
human,32,8,90s,90,114.0,0.18672199170124482,0.32231404958677684
