word_length,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
1,129.54443225555272,0.01906092505446425,3534,0.00032063483291091014,129.5438038112802,129.54506069982523
2,129.54388082258058,0.01293972469980448,3583,0.00021617309100993036,129.54345712332218,129.54430452183897
3,129.5444258061327,0.025847637431774692,3528,0.00043516761203950293,129.5435728776131,129.5452787346523
4,129.54439854904746,0.015793252155593268,3625,0.0002623116407424712,129.5438844182316,129.5449126798633
5,129.5438553499218,0.01184641619970205,3583,0.0001979081059829967,129.5434674500341,129.54424324980954
6,218.48881214921434,62.25498254882814,3541,1.046191416044162,216.43827697376778,220.5393473246609
7,251.85449162432624,37.22614128959638,3522,0.6272683075188357,250.62504574158933,253.08393750706315
8,261.7611607667803,14.808788516205027,3580,0.24750160392104065,261.276057623095,262.24626391046553
9,263.4547339462967,0.04863261503462354,3630,0.0008071872813614605,263.4531518592252,263.4563160333682
10,263.45145128885997,0.050013436507664474,3602,0.0008333258278720989,263.44981797023735,263.4530846074826
11,308.14226911003374,62.04045428429804,3597,1.0344386773529892,306.1147693024219,310.16976891764557
12,336.3519781754571,65.75449142433149,3629,1.0915206063464595,334.212597787018,338.49135856389614
13,346.55724811700316,64.01772314050247,3417,1.0951604070933443,344.4107337191002,348.7037625149061
14,358.4061112075253,59.97860518821899,3629,0.9956412419096632,356.45465437338237,360.3575680416683
