run_dir,rho_inflation_percentage,w_skip_degradation_factor,coverage_factor,30s_reading_speed,30s_skip_rate,30s_regression_rate,60s_reading_speed,60s_skip_rate,60s_regression_rate,90s_reading_speed,90s_skip_rate,90s_regression_rate,loss_type,loss_total,loss_reading_speed,loss_skip_rate,loss_regression_rate
simulation_data/rho_0.290__w_0.780__cov_0.60,0.29,0.78,0.6,203.11111111111111,0.45225221439714797,0.4689380002187695,189.77777777777777,0.4239076116261448,0.4734034034505513,181.85185185185185,0.4182816731878546,0.6222982586786148,sse,703.2773288934301,703.2285446371438,0.025560509153368112,0.023223747132823987
simulation_data/rho_0.290__w_1.000__cov_2.00,0.29,1.0,2.0,205.55555555555554,0.6706979326757866,0.3091165345679364,189.11111111111111,0.6456938615106813,0.558895104735535,180.74074074074073,0.6452451319504999,0.6744660284886361,sse,703.7240696734494,703.4160955462474,0.294243048604391,0.013731078597547682
simulation_data/rho_0.290__w_0.920__cov_1.60,0.29,0.92,1.6,206.88888888888889,0.5935526775236841,0.33550456316628247,186.33333333333334,0.5625970778402275,0.5201197649441354,182.51851851851853,0.5606050756439805,0.6570516493265214,sse,706.1265298730366,705.959223968226,0.16087140645099895,0.006434498359673427
simulation_data/rho_0.300__w_1.000__cov_1.50,0.3,1.0,1.5,203.33333333333334,0.6683760745599421,0.3576959909966259,191.33333333333334,0.6473146755109622,0.5601645503686646,179.85185185185185,0.6498958479556083,0.670299163420765,sse,707.9081964852842,707.5964713705331,0.2971434175195372,0.014581697231611953
simulation_data/rho_0.290__w_0.900__cov_0.40,0.29,0.9,0.4,207.33333333333334,0.5451607372919187,0.5269531592025847,186.66666666666666,0.5542297652291376,0.5118404960854785,182.00000000000003,0.5485679769224887,0.6552809052591893,sse,712.2684998384293,712.0863910728586,0.133890328404161,0.04821843716647213
simulation_data/rho_0.290__w_0.940__cov_1.90,0.29,0.94,1.9,203.11111111111111,0.6219621436714731,0.3345415966871007,190.22222222222223,0.5726911545415263,0.5369218323094666,181.62962962962962,0.580210143263039,0.6584196717360863,sse,712.8450013112281,712.6484181346615,0.1882733085179813,0.008309868048633512
simulation_data/rho_0.290__w_0.920__cov_1.20,0.29,0.92,1.2,198.66666666666666,0.5930050435519604,0.35285166123901474,192.88888888888889,0.5623381592089858,0.5363162314877576,180.59259259259258,0.5686762141513875,0.653922241639,sse,712.908757681037,712.7355957693618,0.16463532573875497,0.008526585936253352
simulation_data/rho_0.290__w_0.860__cov_0.80,0.29,0.86,0.8,198.66666666666666,0.5507743775606693,0.4465121976029081,188.66666666666666,0.5263808219929447,0.5090294333287883,185.4814814814815,0.5230945026009685,0.6541597902419782,sse,717.4262610147416,717.2932053965844,0.1120184419593701,0.02103717619794808
simulation_data/rho_0.290__w_0.860__cov_1.70,0.29,0.86,1.7,206.22222222222223,0.5418738201469934,0.30954317583278285,188.77777777777777,0.5268385909998425,0.511532642650997,181.11111111111111,0.5126489192982004,0.6454553178283523,sse,720.9884111662217,720.8790537872071,0.10512072730673472,0.004236651707887179
simulation_data/rho_0.290__w_0.960__cov_1.40,0.29,0.96,1.4,200.22222222222223,0.6424634299569607,0.3171078325912867,192.11111111111111,0.5941421822137145,0.5449779813804388,181.33333333333337,0.5999302725202329,0.6634525006841984,sse,724.4800660668474,724.249891635958,0.22034447740988516,0.009829953479532954
simulation_data/rho_0.290__w_0.920__cov_1.10,0.29,0.92,1.1,200.66666666666666,0.5887841564617743,0.3651203945713649,185.55555555555554,0.5677509930030908,0.5155954244105685,187.33333333333334,0.5663878945386066,0.666326894731834,sse,725.2147595018097,725.0411731641863,0.16440352588090928,0.009182811742533057
simulation_data/rho_0.290__w_1.000__cov_1.50,0.29,1.0,1.5,205.11111111111111,0.6743559121262727,0.3347381446948491,190.44444444444446,0.6458005323101162,0.5582574872156538,180.37037037037035,0.6482916902570713,0.6723347521421456,sse,730.160977343018,729.8491788494784,0.29841437946648325,0.0133841140728417
simulation_data/rho_0.290__w_0.900__cov_1.70,0.29,0.9,1.7,200.22222222222223,0.5748707589842209,0.3252422905862804,189.0,0.5534498263541404,0.5260332381110622,184.96296296296293,0.5468628186111341,0.6570883575772344,sse,730.8816085552285,730.7321498870672,0.14269402704486497,0.00676464111632413
simulation_data/rho_0.290__w_0.840__cov_1.70,0.29,0.84,1.7,202.88888888888889,0.5327619083312949,0.29576231024694954,189.44444444444446,0.495328256522221,0.5039559006638078,183.25925925925924,0.49814877355995335,0.643433596145952,sse,733.3760309958893,733.2870608891006,0.08493768667502387,0.004032420113771173
simulation_data/rho_0.290__w_0.960__cov_0.00,0.29,0.96,0.0,209.55555555555554,0.583101330043307,0.6868812409453962,187.55555555555554,0.5927694662901879,0.5610738762634225,179.92592592592592,0.5925562645188122,0.6612432642479946,sse,749.0488915578287,748.7130293130602,0.1891870739015082,0.14667517086698245
simulation_data/rho_0.290__w_1.000__cov_1.40,0.29,1.0,1.4,204.88888888888889,0.6733639816758407,0.35261289211793817,191.88888888888889,0.6451634672933133,0.5594492687528361,179.40740740740742,0.6506217074901571,0.6713643002468683,sse,754.4946681171729,754.1813682773841,0.29902546491104687,0.01427437487779376
simulation_data/rho_0.290__w_0.800__cov_1.50,0.29,0.8,1.5,203.55555555555554,0.5003350325852582,0.30412466395027454,190.55555555555554,0.4528925998172279,0.48980586874691096,182.2962962962963,0.45820814413685695,0.6275484517413996,sse,756.417314081638,756.3649881182994,0.05059211947129185,0.0017338438672699118
simulation_data/rho_0.290__w_0.900__cov_1.90,0.29,0.9,1.9,197.55555555555554,0.5791477452347276,0.3091013836082018,192.55555555555554,0.5488534297058174,0.5342856526645607,182.88888888888889,0.5462104136689462,0.6548153241641989,sse,758.7446103805203,758.5953156600947,0.14186634634281275,0.0074283740827437005
simulation_data/rho_0.290__w_0.960__cov_1.20,0.29,0.96,1.2,205.55555555555554,0.642277680086933,0.3593394238911052,189.33333333333334,0.5957902750391344,0.5368643909061888,182.44444444444446,0.6005487640665785,0.6626224884210296,sse,764.9610407412417,764.7293013382584,0.22150795897943276,0.010231444003983996
simulation_data/rho_0.290__w_0.960__cov_0.90,0.29,0.96,0.9,201.55555555555554,0.6274843318249226,0.4603379287983096,193.11111111111111,0.5969358035773499,0.5456763064214534,180.74074074074076,0.6015320429793181,0.6624170898104864,sse,771.4389109735492,771.1938733240261,0.2155255330590204,0.029512116464019866
simulation_data/rho_0.290__w_0.960__cov_1.50,0.29,0.96,1.5,201.11111111111111,0.6377879225619476,0.31895355155157423,190.66666666666666,0.5951617517517913,0.5445330799682302,184.07407407407405,0.6010567402934178,0.6668200839880342,sse,773.721387323473,773.4918907907168,0.21923446260245477,0.01026207015383386
simulation_data/rho_0.290__w_1.000__cov_1.30,0.29,1.0,1.3,200.22222222222223,0.6677860971020544,0.36418240395261997,191.77777777777777,0.6451492496063183,0.5593452726002446,183.40740740740742,0.6479093831473828,0.6780254425492612,sse,779.1958843959791,778.8855500839759,0.29407056099590556,0.016263751007180423
simulation_data/rho_0.290__w_0.880__cov_1.40,0.29,0.88,1.4,202.44444444444446,0.5623709371280889,0.34428321936042805,192.33333333333334,0.5332637068473054,0.5276173986924694,181.62962962962962,0.5350320327133598,0.6477542065184623,sse,782.5044236735507,782.3741676937448,0.12391073128195057,0.006345248523935633
simulation_data/rho_0.300__w_1.000__cov_1.00,0.3,1.0,1.0,201.33333333333334,0.6522850786350768,0.4433785344242256,192.77777777777777,0.6432672518593209,0.5617581233704851,181.7037037037037,0.6506099818372582,0.6732489302323573,sse,782.6745807899312,782.3590383934742,0.2863869770843799,0.029155419372439803
simulation_data/rho_0.300__w_0.800__cov_1.00,0.3,0.8,1.0,206.88888888888889,0.49171047590339234,0.4393710399438976,191.77777777777777,0.45272360768487435,0.48987458856870053,178.66666666666666,0.45833962419448365,0.6161485442656747,sse,784.2155628903346,784.1516893028137,0.048795383798369105,0.015078203722498485
simulation_data/rho_0.300__w_0.800__cov_1.50,0.3,0.8,1.5,200.88888888888889,0.49798749340261267,0.28337341465639915,193.33333333333334,0.4589713699810523,0.4938474381855353,181.25925925925924,0.45199759558661007,0.625913701412999,sse,784.7967793682934,784.7440528782209,0.049909244655318305,0.0028172454172133866
simulation_data/rho_0.290__w_0.960__cov_1.10,0.29,0.96,1.1,205.55555555555554,0.6313624000858024,0.4228610615904307,189.44444444444446,0.5976938475929656,0.5386780780656646,183.11111111111111,0.6003696663856719,0.6640955628742057,sse,791.4322552115855,791.1954304047889,0.21710616847380998,0.019718638322683224
simulation_data/rho_0.290__w_0.840__cov_2.40,0.29,0.84,2.4,197.33333333333334,0.5329323512572126,0.18036859739358446,194.66666666666666,0.4956798316128309,0.5187194043517017,181.11111111111111,0.4924185887331627,0.6403612666761008,sse,792.6672925135061,792.5607116355311,0.0829852482075165,0.02359562976739327
simulation_data/rho_0.300__w_1.000__cov_2.00,0.3,1.0,2.0,194.22222222222223,0.6741417799958064,0.3011456677810333,194.77777777777777,0.6450541914510199,0.5686490432805504,181.62962962962965,0.6428720516691443,0.6769892813144951,sse,793.0777214936618,792.7674657537093,0.2941757134705715,0.016080026481857482
simulation_data/rho_0.300__w_0.700__cov_2.50,0.3,0.7,2.5,196.66666666666666,0.3804655064270738,0.16317441727906615,192.55555555555554,0.3282650309432114,0.4515772875697173,184.14814814814815,0.3192507769373059,0.5972583928319054,sse,794.5971951497812,794.5717056409474,0.0002511733259680783,0.025238335507763263
simulation_data/rho_0.290__w_0.960__cov_0.80,0.29,0.96,0.8,205.33333333333334,0.6324064027500211,0.4788716877443824,191.88888888888889,0.5997450143104117,0.540132559373717,180.51851851851853,0.6032761384395792,0.6607822175885274,sse,796.9555889249427,796.7010484088452,0.22043482607552167,0.0341056900222274
simulation_data/rho_0.290__w_0.920__cov_2.20,0.29,0.92,2.2,201.55555555555554,0.6001916774636533,0.2567911494382338,193.55555555555554,0.559368327411596,0.5405210488230892,181.33333333333337,0.5541441703206643,0.6550075300723149,sse,808.7091686041006,808.5382514243167,0.15885586531975743,0.012061314464040422
simulation_data/rho_0.300__w_1.000__cov_0.50,0.3,1.0,0.5,209.33333333333334,0.6129892238692868,0.5356823921034859,189.22222222222223,0.6430782025058414,0.5448168761530726,180.59259259259258,0.6510006769120994,0.6744444728946387,sse,816.9317040854088,816.6059661397331,0.26763173964280085,0.05810620603277185
