sentence_id,word_id,word,original_word,position,sentence,length,frequency,log_frequency,difficulty,predictability,logit_predictability,skip_probability,regression_probability,total_occurrences,pred_class
1,7,quadricycle,Quadricycle,7,,11,1.0,0.0,1.0,0.0,-2.5530000000000004,0.18181818181818182,0.09090909090909091,11,Class 1
1,8,to,to,8,,2,22677.84,4.3556016868719265,0.6040362102843703,0.0,-2.5530000000000004,0.7272727272727273,0.0,11,Class 1
1,9,victory,victory,9,,7,21.449999999999992,1.3314272965207432,0.8789611548617505,0.0,-2.5530000000000004,0.7272727272727273,0.7272727272727273,11,Class 1
1,10,in,in,10,,2,9773.410000000002,3.990046118048168,0.637268534722894,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
1,11,a,a,11,,1,20415.269999999997,4.309955128012859,0.6081858974533764,0.0,-2.5530000000000004,0.8181818181818182,0.0,11,Class 1
1,12,race,race,12,,4,61.899999999999984,1.7916906490201183,0.837119031907262,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
1,13,against,against,13,,7,201.73,2.304770488523259,0.7904754101342492,0.0,-2.5530000000000004,0.45454545454545453,0.09090909090909091,11,Class 1
1,14,alexander,Alexander,14,,9,9.510000000000002,0.9781805169374139,0.9110744984602352,0.0,-2.5530000000000004,0.18181818181818182,0.2727272727272727,11,Class 1
1,15,winton,"Winton,",15,,6,1.0,0.0,1.0,0.0,-2.5530000000000004,0.18181818181818182,0.0,11,Class 1
1,16,a,a,16,,1,20415.269999999997,4.309955128012859,0.6081858974533764,0.0,-2.5530000000000004,1.0,0.0,11,Class 1
1,17,wellknown,well-known,17,,9,1.0,0.0,1.0,0.0,-2.5530000000000004,0.2727272727272727,0.0,11,Class 1
1,18,driver,driver,18,,6,47.37,1.6755033847279568,0.8476815104792764,0.0,-2.5530000000000004,0.7272727272727273,0.45454545454545453,11,Class 1
1,19,and,and,19,,3,13387.839999999998,4.126710513400981,0.624844498781729,0.0,-2.5530000000000004,0.9090909090909091,0.0,11,Class 1
1,20,the,the,20,,3,29449.179999999997,4.4690732065447465,0.5937206175868414,0.0,-2.5530000000000004,0.6363636363636364,0.18181818181818182,11,Class 1
1,21,heavy,heavy,21,,5,47.290000000000006,1.674769314015426,0.8477482441804157,0.0,-2.5530000000000004,0.5454545454545454,0.45454545454545453,11,Class 1
1,22,favorite,favorite,22,,8,59.45,1.77415185895471,0.8387134673677537,0.0,-2.5530000000000004,0.5454545454545454,0.18181818181818182,11,Class 1
1,23,on,on,23,,2,6955.729999999997,3.8423427156846257,0.6506961167559432,0.0,-2.5530000000000004,0.9090909090909091,0.18181818181818182,11,Class 1
1,24,october,October,24,,7,9.92,0.9965116721541787,0.9094080298041655,0.0,-2.5530000000000004,0.36363636363636365,0.09090909090909091,11,Class 1
1,25,10,"10,",25,,2,1.0,0.0,1.0,0.0,-2.5530000000000004,0.45454545454545453,0.36363636363636365,11,Class 1
1,26,1901,1901.,26,,4,1.0,0.0,1.0,0.0,-2.5530000000000004,0.0,0.0,11,Class 1
2,0,ford,Ford,0,,4,11.510000000000003,1.0610753236297918,0.9035386069427461,0.0,-2.5530000000000004,0.0,0.18181818181818182,11,Class 1
