class,logit_predictability,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,-1.9431199473095326,329.2612718968369,218.6831106475323,237,14.204994498501252,301.41948267977443,357.10306111389934
class 2,-1.2061762572005428,286.5825927240724,191.80709505830984,388,9.737529920643722,267.4970340796107,305.6681513685341
class 3,-0.7245540069929727,290.16156203444007,198.88824681599405,787,7.089600336912755,276.2659453740911,304.05717869478906
class 4,-0.2327868303014858,284.1012592093417,190.01838409270403,1208,5.467164650489767,273.3856164943818,294.81690192430165
class 5,0.6891749736509356,275.79269317747884,195.65998152882057,2466,3.9400839207378278,268.07012869283267,283.515257662125
