class,log_frequency,average_gaze_duration,std_deviation,n_samples,std_error,ci_95_lower,ci_95_upper
class 1,0.32777900202051363,315.2504805216416,214.6587395868053,4402,3.2353670327590685,308.9091611374338,321.59179990584937
class 2,1.3278256695530992,300.0641349133973,191.61932607776652,464,8.895703889317407,282.6285552903352,317.4997145364594
class 3,2.2655398189154785,256.5418666816314,154.53569006657813,44,23.29713184861326,210.8794882583494,302.2042451049134
class 4,3.5023167363690617,245.67307755891807,128.70012471411596,3,74.30505164843326,100.03517632798886,391.31097878984724
class 5,4.223910890130212,231.0247400807247,,1,,,
