metric,condition,human_mean,simulation_mean,difference_human_minus_simulation,absolute_error,squared_error,pearson_r
reading_speed,30s,190.77976190476073,198.22222222222223,-7.442460317461496,7.442460317461496,55.39021557698907,
reading_speed,60s,171.4880952380893,180.77777777777777,-9.28968253968847,9.28968253968847,86.29820168819283,
reading_speed,90s,166.48015873015717,171.1851851851852,-4.705026455028019,4.705026455028019,22.137273942513527,
skip_rate,30s,0.3907747888607143,0.39363747327833404,-0.002862684417619721,0.002862684417619721,8.19496207488276e-06,
skip_rate,60s,0.3226584662464286,0.32832209694486025,-0.0056636306984316764,0.0056636306984316764,3.207671268821768e-05,
skip_rate,90s,0.31304003764285715,0.3268998032356246,-0.01385976559276747,0.01385976559276747,0.00019209310228646102,
regression_rate,30s,0.3161848319035715,0.32025870449214516,-0.004073872588573668,0.004073872588573668,1.659643786793192e-05,
regression_rate,60s,0.4772694567178572,0.41284812695311895,0.06442132976473824,0.06442132976473824,0.0041501077286571495,
regression_rate,90s,0.5930452536428571,0.5660919973067965,0.026953256336060605,0.026953256336060605,0.0007264780271173911,
mcq_accuracy,30s,0.5916666666666666,0.4888888888888888,0.10277777777777775,0.10277777777777775,0.010563271604938265,
mcq_accuracy,60s,0.7312500000000002,0.7555555555555555,-0.024305555555555358,0.024305555555555358,0.0005907600308641879,
mcq_accuracy,90s,0.825,0.8,0.02499999999999991,0.02499999999999991,0.0006249999999999956,
free_recall_score,30s,0.6416666666666666,0.535790921913253,0.10587574475341366,0.10587574475341366,0.011209673327089999,
free_recall_score,60s,0.703125,0.6717904806137085,0.031334519386291504,0.031334519386291504,0.000981852105169878,
free_recall_score,90s,0.7302083333333333,0.6763229933049943,0.053885340028339,0.053885340028339,0.0029036298699697135,
OVERALL_15_MEANS,,,,,1.45987885260517,3.305124212911462,0.9999395483701926
