source,source_label,metric,condition,human_mean,comparison_mean,difference_human_minus_comparison,absolute_error,squared_error,pearson_r,mae,rmse
simulation,Simulation,reading_speed,30s,190.77976190476073,198.22222222222223,-7.442460317461496,7.442460317461496,55.39021557698907,,,
simulation,Simulation,reading_speed,60s,171.4880952380893,180.77777777777777,-9.28968253968847,9.28968253968847,86.29820168819283,,,
simulation,Simulation,reading_speed,90s,166.48015873015717,171.1851851851852,-4.705026455028019,4.705026455028019,22.137273942513527,,,
simulation,Simulation,skip_rate,30s,0.3907747888607143,0.39363747327833404,-0.002862684417619721,0.002862684417619721,8.19496207488276e-06,,,
simulation,Simulation,skip_rate,60s,0.3226584662464286,0.32832209694486025,-0.0056636306984316764,0.0056636306984316764,3.207671268821768e-05,,,
simulation,Simulation,skip_rate,90s,0.31304003764285715,0.3268998032356246,-0.01385976559276747,0.01385976559276747,0.00019209310228646102,,,
simulation,Simulation,regression_rate,30s,0.3161848319035715,0.32025870449214516,-0.004073872588573668,0.004073872588573668,1.659643786793192e-05,,,
simulation,Simulation,regression_rate,60s,0.4772694567178572,0.41284812695311895,0.06442132976473824,0.06442132976473824,0.0041501077286571495,,,
simulation,Simulation,regression_rate,90s,0.5930452536428571,0.5660919973067965,0.026953256336060605,0.026953256336060605,0.0007264780271173911,,,
simulation,Simulation,mcq_accuracy,30s,0.5916666666666666,0.4888888888888888,0.10277777777777775,0.10277777777777775,0.010563271604938265,,,
simulation,Simulation,mcq_accuracy,60s,0.7312500000000002,0.7555555555555555,-0.024305555555555358,0.024305555555555358,0.0005907600308641879,,,
simulation,Simulation,mcq_accuracy,90s,0.825,0.8,0.02499999999999991,0.02499999999999991,0.0006249999999999956,,,
simulation,Simulation,free_recall_score,30s,0.6416666666666666,0.535790921913253,0.10587574475341366,0.10587574475341366,0.011209673327089999,,,
simulation,Simulation,free_recall_score,60s,0.703125,0.6717904806137085,0.031334519386291504,0.031334519386291504,0.000981852105169878,,,
simulation,Simulation,free_recall_score,90s,0.7302083333333333,0.6763229933049943,0.053885340028339,0.053885340028339,0.0029036298699697135,,,
simulation,Simulation,OVERALL_15_MEANS,,,,,,,0.9999395483701926,1.45987885260517,3.305124212911462
full_memory,Sim with unlimited memory,reading_speed,30s,190.77976190476073,211.11111111111111,-20.33134920635038,20.33134920635038,413.3637605505643,,,
full_memory,Sim with unlimited memory,reading_speed,60s,171.4880952380893,115.44444444444444,56.04365079364486,56.04365079364486,3140.8907942800097,,,
full_memory,Sim with unlimited memory,reading_speed,90s,166.48015873015717,78.14814814814815,88.33201058200902,88.33201058200902,7802.544093460153,,,
full_memory,Sim with unlimited memory,skip_rate,30s,0.3907747888607143,0.3847390242329205,0.006035764627793816,0.006035764627793816,3.643045464212702e-05,,,
full_memory,Sim with unlimited memory,skip_rate,60s,0.3226584662464286,0.3329993477318782,-0.010340881485449649,0.010340881485449649,0.00010693382989611534,,,
full_memory,Sim with unlimited memory,skip_rate,90s,0.31304003764285715,0.3127706517644819,0.0002693858783752723,0.0002693858783752723,7.2568751468017e-08,,,
full_memory,Sim with unlimited memory,regression_rate,30s,0.3161848319035715,0.04903828900771367,0.2671465428958578,0.2671465428958578,0.0713672753812084,,,
full_memory,Sim with unlimited memory,regression_rate,60s,0.4772694567178572,0.08308091090645425,0.39418854581140295,0.39418854581140295,0.15538460964890852,,,
full_memory,Sim with unlimited memory,regression_rate,90s,0.5930452536428571,0.08280550319418671,0.5102397504486704,0.5102397504486704,0.2603446029379215,,,
full_memory,Sim with unlimited memory,mcq_accuracy,30s,0.5916666666666666,0.6666666666666666,-0.07500000000000007,0.07500000000000007,0.00562500000000001,,,
full_memory,Sim with unlimited memory,mcq_accuracy,60s,0.7312500000000002,0.9333333333333333,-0.20208333333333317,0.20208333333333317,0.04083767361111105,,,
full_memory,Sim with unlimited memory,mcq_accuracy,90s,0.825,0.9555555555555556,-0.13055555555555565,0.13055555555555565,0.017044753086419777,,,
full_memory,Sim with unlimited memory,free_recall_score,30s,0.6416666666666666,0.865052064259847,-0.22338539759318043,0.22338539759318043,0.049901035857863305,,,
full_memory,Sim with unlimited memory,free_recall_score,60s,0.703125,0.892380972703298,-0.18925597270329797,0.18925597270329797,0.03581782320387147,,,
full_memory,Sim with unlimited memory,free_recall_score,90s,0.7302083333333333,0.8651250468360053,-0.13491671350267198,0.13491671350267198,0.018202519582362072,,,
full_memory,Sim with unlimited memory,OVERALL_15_MEANS,,,,,,,0.9324238647782771,11.123361895055988,27.51660506799593
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),reading_speed,30s,190.77976190476073,0.0,190.77976190476073,190.77976190476073,36396.9175524372,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),reading_speed,60s,171.4880952380893,0.0,171.4880952380893,171.4880952380893,29408.166808387985,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),reading_speed,90s,166.48015873015717,0.0,166.48015873015717,166.48015873015717,27715.643250818328,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),skip_rate,30s,0.3907747888607143,0.0,0.3907747888607143,0.3907747888607143,0.15270493560913587,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),skip_rate,60s,0.3226584662464286,0.0,0.3226584662464286,0.3226584662464286,0.10410848584049769,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),skip_rate,90s,0.31304003764285715,0.0,0.31304003764285715,0.31304003764285715,0.09799406516744143,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),regression_rate,30s,0.3161848319035715,0.0,0.3161848319035715,0.3161848319035715,0.09997284792588976,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),regression_rate,60s,0.4772694567178572,0.0,0.4772694567178572,0.4772694567178572,0.22778613431575856,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),regression_rate,90s,0.5930452536428571,0.0,0.5930452536428571,0.5930452536428571,0.3517026728683207,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),mcq_accuracy,30s,0.5916666666666666,0.0,0.5916666666666666,0.5916666666666666,0.3500694444444443,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),mcq_accuracy,60s,0.7312500000000002,0.0,0.7312500000000002,0.7312500000000002,0.5347265625000003,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),mcq_accuracy,90s,0.825,0.0,0.825,0.825,0.6806249999999999,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),free_recall_score,30s,0.6416666666666666,0.0,0.6416666666666666,0.6416666666666666,0.411736111111111,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),free_recall_score,60s,0.703125,0.0,0.703125,0.703125,0.494384765625,,,
sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),free_recall_score,90s,0.7302083333333333,0.0,0.7302083333333333,0.7302083333333333,0.5332042100694445,,,
