section,metric,metric_label,source,source_label,condition,comparison,n,mean,sd,sem,test,df1,df2,statistic,p,effect_size,effect_size_name,value_unit,values_source
inferential,reading_speed,Reading speed (WPM),full_memory,Sim with unlimited memory,,30s_vs_90s,18,,,,welch_t_test,,8.887281490400612,20.838310277039174,7.494416295044625e-09,9.82327367024248,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),full_memory,Sim with unlimited memory,,60s_vs_90s,18,,,,welch_t_test,,14.046207352788517,14.257536178355538,9.523055357317211e-10,6.721067009818491,cohens_d,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,30s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot2,Sim myopic sentence reader (γ=0.2),,60s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),30s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),60s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),90s,,9,0.0,0.0,0.0,,,,,,,,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,nan,nan,nan,eta_squared,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_60s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,30s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),sentence_reader_gamma_0dot6,Sim myopic sentence reader (γ=0.6),,60s_vs_90s,18,,,,welch_t_test,,1.0,nan,nan,nan,cohens_d,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),30s,,9,55.111111111111114,28.001984056689825,9.333994685563274,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),60s,,9,28.77777777777778,14.584047601555765,4.861349200518588,,,,,,,,episode_stimulus,
descriptive,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),90s,,9,19.185185185185183,9.722698401037176,3.240899467012392,,,,,,,,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_60s_vs_90s,27,,,,one_way_anova,2,24,8.560701145101854,0.0015621398307129526,0.41636231589024675,eta_squared,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_60s,18,,,,welch_t_test,,12.042632789346232,2.5021991163778217,0.02774165043537098,1.17954797537983,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,30s_vs_90s,18,,,,welch_t_test,,9.901294089656382,3.6359947824729586,0.00464164669423989,1.7140243780303568,cohens_d,episode_stimulus,
inferential,reading_speed,Reading speed (WPM),text_reader_gamma_0dot2,Sim myopic text reader (γ=0.2),,60s_vs_90s,18,,,,welch_t_test,,13.938144329896904,1.6418321665265794,0.1229866667461118,0.7739671056807635,cohens_d,episode_stimulus,
