model,raw_mae,raw_rmse,raw_pattern_r,standardized_mae,standardized_rmse,standardized_pattern_r
Full hierarchical model,1.402548938233807,3.1413529574664554,0.9999314924100136,0.3426208468257155,0.48589299140222714,0.9258534624747552
Unlimited-memory model,11.016342922429523,27.318162326315964,0.934472328791983,1.6468886202267774,2.1226551394635083,0.232483397467045
Myopic text reader ($\gamma=0.6$),27.03567662388269,60.23293982132482,0.9001187250673003,1.8364729949374095,2.517163804885664,-0.15295530974021496
Myopic text reader ($\gamma=0.2$),28.629613191453313,63.63747102553397,0.924625524362961,1.8919792806753697,2.608436093354489,-0.19118341557911014
Myopic sentence reader ($\gamma=0.6$),35.7238485153053,79.14450058116968,,3.9548179644262094,4.095441236101946,
Myopic sentence reader ($\gamma=0.2$),35.7238485153053,79.14450058116968,,3.9548179644262094,4.095441236101946,
