row,participant,csv_stim,parsed_idx,time_cond,fr_score
115,13,stimuli8,8,30s,0.12209827906550136
116,13,stimuli9,9,30s,0.13600505075048305
117,14,stimuli1,1,90s,0.2113222593308055
118,14,stimuli2,2,90s,0.2690860290166366
119,14,stimuli3,3,60s,0.1605144707810256
120,14,stimuli4,4,60s,0.19228665013374346
121,14,stimuli5,5,60s,0.14447444505912566
122,14,stimuli6,6,30s,0.13135173437318343
123,14,stimuli7,7,30s,0.1066508677083238
124,14,stimuli8,8,30s,0.11955702496470261
125,14,stimuli9,9,90s,0.11878063655295479
126,15,stimuli1,1,30s,0.11560333616061196
127,15,stimuli2,2,90s,0.21150822534098332
128,15,stimuli3,3,90s,0.2087905633341192
129,15,stimuli4,4,90s,0.146943671674129
130,15,stimuli5,5,60s,0.11743577988830126
131,15,stimuli6,6,60s,0.21232321131452692
132,15,stimuli7,7,60s,0.06450867095130924
133,15,stimuli8,8,30s,0.08798117404291673
134,15,stimuli9,9,30s,0.07830683095582326
135,16,stimuli1,1,30s,0.1152857439776791
136,16,stimuli2,2,30s,0.0515539262226467
137,16,stimuli3,3,30s,0.16972502573910517
138,16,stimuli4,4,60s,0.21693800887276218
139,16,stimuli5,5,60s,0.053207884337252404
140,16,stimuli6,6,60s,0.15291587997987086
141,16,stimuli7,7,90s,0.11014854253144232
142,16,stimuli8,8,90s,0.20013236268821483
143,16,stimuli9,9,90s,0.06771129266492834
144,17,stimuli1,1,60s,0.11538594890227052
145,17,stimuli2,2,60s,0.059529346364854366
146,17,stimuli3,3,90s,0.05886810475844638
147,17,stimuli4,4,90s,0.2326608134840376
148,17,stimuli5,5,90s,0.053207884337252404
149,17,stimuli6,6,30s,0.1489388671836248
150,17,stimuli7,7,30s,0.2517274006137687
151,17,stimuli8,8,30s,0.3172206342872576
152,17,stimuli9,9,60s,0.05600876294531368
153,18,stimuli1,1,30s,0.15175738212786563
154,18,stimuli2,2,90s,0.2314820596313854
155,18,stimuli3,3,90s,0.39225726698424374
156,18,stimuli4,4,90s,0.2986712117249745
157,18,stimuli5,5,60s,0.1840328576412976
158,18,stimuli6,6,60s,0.2213792305522388
159,18,stimuli7,7,60s,0.20060604941636942
160,18,stimuli8,8,30s,0.24779165351102558
161,18,stimuli9,9,30s,0.18232508342865655
162,19,stimuli1,1,30s,0.12450860349589345
163,19,stimuli2,2,30s,0.1891511969643836
164,19,stimuli3,3,30s,0.3210289415620512
165,19,stimuli4,4,60s,0.23323714284710648
166,19,stimuli5,5,60s,0.20744974325501697
167,19,stimuli6,6,60s,0.19717349391709232
168,19,stimuli7,7,90s,0.1831585873398953
169,19,stimuli8,8,90s,0.31444200585725746
170,19,stimuli9,9,90s,0.1204073986524895
171,20,stimuli1,1,30s,0.03836941488383408
172,20,stimuli2,2,30s,0.23624976928744737
173,20,stimuli3,3,90s,0.29643243059996255
174,20,stimuli4,4,90s,0.13488377303708532
175,20,stimuli5,5,90s,0.08035839406258206
176,20,stimuli6,6,60s,0.20692389186984356
177,20,stimuli7,7,60s,0.16223916220452253
178,20,stimuli8,8,60s,0.24779165351102564
179,20,stimuli9,9,30s,0.12607156592626004
180,21,stimuli1,1,60s,0.12612508647623563
181,21,stimuli2,2,30s,0.3018795411925407
182,21,stimuli3,3,30s,0.3127751610161098
183,21,stimuli4,4,30s,0.20149814827784027
184,21,stimuli5,5,90s,0.13308207040240763
185,21,stimuli6,6,90s,0.20515818148451423
186,21,stimuli7,7,90s,0.337319704403546
187,21,stimuli8,8,60s,0.21640507449022206
188,21,stimuli9,9,60s,0.15090448036278906
189,22,stimuli1,1,90s,0.24214849689644424
190,22,stimuli2,2,90s,0.32155703483945197
191,22,stimuli3,3,90s,0.2779834629431532
192,22,stimuli4,4,30s,0.1958244984820156
193,22,stimuli5,5,30s,0.08196811224283365
194,22,stimuli6,6,30s,0.18166334661511918
195,22,stimuli7,7,60s,0.13456786237723156
196,22,stimuli8,8,60s,0.24430875503934887
197,22,stimuli9,9,60s,0.22746818611819686
198,23,stimuli1,1,30s,0.196227812235748
199,23,stimuli2,2,30s,0.33105635270762607
200,23,stimuli3,3,60s,0.2566001196398337
201,23,stimuli4,4,60s,0.11773620951689279
202,23,stimuli5,5,60s,0.2559965528760262
203,23,stimuli6,6,90s,0.146536469866335
204,23,stimuli7,7,90s,0.3597163245712503
205,23,stimuli8,8,90s,0.31722063428725755
206,23,stimuli9,9,30s,0.07308036096174887
207,24,stimuli1,1,60s,0.07960201015483558
208,24,stimuli2,2,30s,0.20835271227699026
209,24,stimuli3,3,30s,0.11605177063713187
210,24,stimuli4,4,30s,0.09567297464698798
211,24,stimuli5,5,90s,0.13177502727791796
212,24,stimuli6,6,90s,0.19110661718118183
213,24,stimuli7,7,90s,0.16408113050618434
214,24,stimuli8,8,60s,0.29941491465915593
215,24,stimuli9,9,60s,0.19856252242524097
216,25,stimuli1,1,60s,0.061995473230507664
217,25,stimuli2,2,30s,0.35361074993019925
218,25,stimuli3,3,30s,0.2694840278181478
219,25,stimuli4,4,30s,0.086710996952412
220,25,stimuli5,5,90s,0.0755254912049361
221,25,stimuli6,6,90s,0.19114484997483858
222,25,stimuli7,7,90s,0.13976878706117007
223,25,stimuli8,8,60s,0.3007640033012391
224,25,stimuli9,9,60s,0.130310443490913
225,26,stimuli1,1,60s,0.22743431472810163
226,26,stimuli2,2,60s,0.3372448574861205
227,26,stimuli3,3,30s,0.17792017089454126
228,26,stimuli4,4,30s,0.13734760723838818
229,26,stimuli5,5,30s,0.047873017674234686
230,26,stimuli6,6,90s,0.16238293478224997
231,26,stimuli7,7,90s,0.10048306977268204
232,26,stimuli8,8,90s,0.25035217008302263
233,26,stimuli9,9,60s,0.15271796128237042
234,27,stimuli1,1,90s,0.14030530132648025
235,27,stimuli2,2,60s,0.1967261668669036
236,27,stimuli3,3,60s,0.2419553954370992
237,27,stimuli4,4,60s,0.24086388042336654
238,27,stimuli5,5,30s,0.06710615993617215
239,27,stimuli6,6,30s,0.04929971387076877
240,27,stimuli7,7,30s,0.3029084919614663
241,27,stimuli8,8,90s,0.19843522405566338
242,27,stimuli9,9,90s,0.20362394837649386
243,28,stimuli1,1,60s,0.08991370590269819
244,28,stimuli2,2,60s,0.26739526547449566
245,28,stimuli3,3,60s,0.3233808333817773
246,28,stimuli4,4,90s,0.08360034245500217
247,28,stimuli5,5,90s,0.15497503801372428
248,28,stimuli6,6,90s,0.13794926124656237
249,28,stimuli7,7,30s,0.09891631124584377
250,28,stimuli8,8,30s,0.24085186098910752
251,28,stimuli9,9,30s,0.07103328022857691
252,29,stimuli1,1,90s,0.20023085175464436
253,29,stimuli2,2,90s,0.31071378257584514
254,29,stimuli3,3,30s,0.16679007776589191
255,29,stimuli4,4,30s,0.12571904773411902
256,29,stimuli5,5,30s,0.11456837051138263
257,29,stimuli6,6,60s,0.20877554680067303
258,29,stimuli7,7,60s,0.17132807677509806
259,29,stimuli8,8,60s,0.3825824798870485
260,29,stimuli9,9,90s,0.08137884587711594
261,30,stimuli1,1,90s,0.21971656642971854
262,30,stimuli2,2,60s,0.3082798171768366
263,30,stimuli3,3,60s,0.27420119877294413
264,30,stimuli4,4,60s,0.08830215713766959
265,30,stimuli5,5,30s,0.21110016546037458
266,30,stimuli6,6,30s,0.22750787759664506
267,30,stimuli7,7,30s,0.030787453590353963
268,30,stimuli8,8,90s,0.19350277283523537
269,30,stimuli9,9,90s,0.130310443490913
270,31,stimuli1,1,60s,0.14423243612783818
271,31,stimuli2,2,60s,0.11812488464372367
272,31,stimuli3,3,60s,0.21038428053472383
273,31,stimuli4,4,90s,0.20232565955562798
274,31,stimuli5,5,90s,0.16466097788958203
275,31,stimuli6,6,90s,0.14346478976333876
276,31,stimuli7,7,30s,0.01927985129893635
277,31,stimuli8,8,30s,0.10238251947232518
278,31,stimuli9,9,30s,0.0
279,32,stimuli1,1,90s,0.027668578554642987
280,32,stimuli2,2,90s,0.22197025087686817
281,32,stimuli3,3,60s,0.2273955002731196
282,32,stimuli4,4,60s,0.08771929824561403
283,32,stimuli5,5,60s,0.08444006618414981
284,32,stimuli6,6,30s,0.1103354568734741
285,32,stimuli7,7,30s,0.08302758790484037
286,32,stimuli8,8,30s,0.20619341228671742
287,32,stimuli9,9,90s,0.12529092952931722
