filename,path,sse_total,sse_mcq_30s,sse_fr_30s,sse_mcq_60s,sse_fr_60s,sse_mcq_90s,sse_fr_90s,sim_mcq_30s,sim_mcq_60s,sim_mcq_90s,sim_fr_30s,sim_fr_60s,sim_fr_90s
comprehension_metrics_20251006-150327.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-150327.json,0.06513035216568988,0.010563271604938276,0.008825377296215844,0.0005907600308641933,0.019333444578991017,0.0006250000000000011,0.025192498654680553,0.4888888888888889,0.7555555555555555,0.8,0.535790921913253,0.6717904806137085,0.6763229933049943
comprehension_metrics_20251006-142230.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-142230.json,0.07198362318489163,0.006489197530864205,0.006975282771502575,0.0021648341049382664,0.016787213556582272,0.008402777777777799,0.031164317443226515,0.5111111111111111,0.7777777777777778,0.7333333333333333,0.5253656009833018,0.6623112029499478,0.6941357254981995
comprehension_metrics_20251006-092044.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-092044.json,0.07217117576844986,0.006489197530864205,0.011606105103818527,4.340277777777284e-06,0.02449540638989795,0.004822530864197543,0.024753595601893857,0.5111111111111111,0.7333333333333333,0.7555555555555555,0.5495790772967868,0.6892558071348402,0.6749342978000641
comprehension_metrics_20251006-160113.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-160113.json,0.07396981154047408,0.006489197530864205,0.011606101536426704,0.0021648341049382664,0.022411680768684602,0.004822530864197543,0.026475466735362746,0.5111111111111111,0.7777777777777778,0.7555555555555555,0.5495790607399411,0.6824510362413194,0.6803143786059486
comprehension_metrics_20251006-180058.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-180058.json,0.07479484290057885,0.001304012345679011,0.01738931678122693,0.0005907600308641933,0.02918323528723424,7.716049382716612e-06,0.02631980240619176,0.5555555555555556,0.7555555555555555,0.8222222222222222,0.5737160013781654,0.7035767369800143,0.6798353327645196
comprehension_metrics_20251006-144557.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-144557.json,0.07489177690719077,0.010563271604938276,0.007123416585807183,4.340277777777284e-06,0.019534492221460587,0.004822530864197543,0.032843725353009404,0.4888888888888889,0.7333333333333333,0.7555555555555555,0.5262477778726153,0.6725115709834628,0.6988299224111769
comprehension_metrics_20251006-134536.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-134536.json,0.076644380811625,0.021674382716049392,0.0046364608603005,0.0005907600308641933,0.013216872239580638,0.012970679012345688,0.023555225952484583,0.4444444444444444,0.7555555555555555,0.7111111111111111,0.5099390049775442,0.6477103796270158,0.6710786620775858
comprehension_metrics_20251007-052842.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251007-052842.json,0.07714081801650617,0.001304012345679011,0.018979909955782893,0.0021648341049382664,0.03044511359480619,7.716049382716612e-06,0.02423923196591709,0.5555555555555556,0.7777777777777778,0.8222222222222222,0.579615036646525,0.7072310050328573,0.6732910805278354
comprehension_metrics_20251006-170412.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-170412.json,0.0789503972127822,0.0034027777777777793,0.01719594558322223,0.0005907600308641933,0.029195043449374618,0.0022299382716049433,0.026335932099938435,0.5333333333333333,0.7555555555555555,0.7777777777777778,0.5729807549052768,0.7036112944285074,0.679885036415524
comprehension_metrics_20251007-051223.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251007-051223.json,0.08031174147623935,0.001304012345679011,0.018399387186776226,0.004726562499999997,0.030574625227109187,7.716049382716612e-06,0.0252994381672922,0.5555555555555556,0.8,0.8222222222222222,0.5774917834334903,0.7076017359892527,0.676659514506658
comprehension_metrics_20251006-071108.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-071108.json,0.22117622422576438,0.0034027777777777793,0.0611643327217941,0.0005907600308641933,0.07128358678538992,0.0022299382716049433,0.08250482863833343,0.5333333333333333,0.7555555555555555,0.7777777777777778,0.6891616814666324,0.7997355858484904,0.8048380812009176
comprehension_metrics_20251006-082610.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-082610.json,0.3083739712823843,0.00019290123456790296,0.09265510712401949,0.004726562499999997,0.0977205357712793,0.001736111111111108,0.1113427535414065,0.5777777777777777,0.8,0.8666666666666667,0.7462404568990072,0.8453485634591844,0.8512821594874064
comprehension_metrics_20251006-080633.json,../../assets/comprehension_results/simulation/comprehension_performance_v3/comprehension_metrics_20251006-080633.json,0.39391066588921064,0.009452160493827157,0.1341749144546173,0.0183376736111111,0.09978255282531996,0.007415123456790109,0.12474824104754502,0.6888888888888889,0.8666666666666667,0.9111111111111111,0.8081463840272691,0.8486294878853692,0.8707987136311002
